gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202410102.0,2024-09-08T13:00:00,,2024,1,PIT,ATL,AWAY,18.0,10.0,28.0,Mercedes-Benz Stadium,3.0,6.0,6.0,3.0,0.0,,,35:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,0.0,0.0,0.0,,,24:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004457,28,2,,8.0,1,,,,,,,,,,,,,,
202410210.0,2024-09-15T16:25:00,1.0,2024,2,PIT,DEN,AWAY,13.0,6.0,19.0,Empower Field at Mile High,7.0,3.0,3.0,0.0,0.0,35.0,36.0,32:19,16.0,9.0,6.0,1.0,66.0,270.0,4.1,0.0,41.0,137.0,3.3,0.0,23.0,17.0,133.0,0.0,0.0,5.8,7.8,73.9,87.77,17.0,8.0,47.1,1.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,60.0,1.0,0.0,2.0,23.0,7.0,3.0,3.0,146.0,48.7,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,24.0,24.0,27:41,15.0,6.0,8.0,1.0,50.0,226.0,4.5,1.0,22.0,89.0,4.0,0.0,26.0,16.0,137.0,1.0,2.0,5.3,8.6,61.5,56.09,9.0,2.0,22.2,1.0,1.0,100.0,2.0,1.0,0.0,0.0,5.0,34.0,1.0,1.0,2.0,18.0,5.0,7.0,4.0,210.0,52.5,3.0,0.0,-3.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,19.0,2.0,18.0,5.0,0.0,1.0,51.0,29.0,2.0,23.0,1.0,0.0,0.0,Sunday,993004503,28,10,18675.0,7.0,1,3.0,0.471,0.0,,,,,,,,,18.0,10.0,1.0
202410328.0,2024-09-22T13:00:00,1.0,2024,3,PIT,LAC,HOME,20.0,10.0,30.0,Acrisure Stadium,0.0,7.0,3.0,10.0,0.0,32.0,19.0,33:51,16.0,4.0,7.0,5.0,58.0,251.0,4.3,1.0,36.0,141.0,3.9,0.0,20.0,13.0,110.0,1.0,0.0,5.5,8.5,65.0,95.83,13.0,4.0,30.8,0.0,0.0,0.0,2.0,1.0,0.0,0.0,10.0,78.0,1.0,0.0,2.0,7.0,7.0,6.0,8.0,424.0,53.0,0.0,2.0,2.0,7.0,3.0,0.0,0.0,0.0,27.0,41.0,26:09,13.0,5.0,8.0,0.0,56.0,295.0,5.3,0.0,19.0,64.0,3.4,0.0,35.0,20.0,231.0,0.0,2.0,6.6,11.6,57.1,53.39,12.0,2.0,16.7,2.0,1.0,50.0,3.0,0.0,0.0,0.0,9.0,124.0,0.0,0.0,2.0,15.0,6.0,4.0,6.0,315.0,52.5,2.0,0.0,-2.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,20.0,2.0,15.0,6.0,0.0,0.0,38.0,30.0,2.0,7.0,1.0,0.0,0.0,Sunday,993004518,28,29,18687.0,10.0,1,2.0,0.308,0.0,,,,,,,,,31.0,16.0,2.0
202410414.0,2024-09-29T13:00:00,1.0,2024,4,PIT,IND,AWAY,24.0,27.0,51.0,Lucas Oil Stadium,0.0,3.0,7.0,14.0,0.0,33.0,51.0,31:07,20.0,7.0,9.0,4.0,65.0,346.0,5.3,2.0,31.0,114.0,3.7,1.0,32.0,25.0,232.0,1.0,1.0,7.2,9.3,78.1,94.27,14.0,7.0,50.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,15.0,0.0,0.0,2.0,13.0,7.0,7.0,3.0,156.0,52.0,1.0,0.0,-1.0,14.0,3.0,0.0,10.0,0.0,26.0,9.0,28:53,10.0,3.0,7.0,0.0,45.0,166.0,3.7,1.0,20.0,61.0,3.0,0.0,20.0,14.0,105.0,1.0,0.0,5.2,7.5,70.0,98.96,11.0,3.0,27.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,69.0,2.0,0.0,5.0,44.0,5.0,8.0,7.0,350.0,50.0,0.0,1.0,1.0,25.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,19.0,5.0,44.0,1.0,1.0,0.0,47.0,30.0,2.0,13.0,4.0,0.0,0.0,Sunday,993004553,28,14,18713.0,-3.0,0,-1.0,0.5,0.0,17.0,8.7,8.3,289.0,229.0,1.333,0.426,,51.0,26.0,3.0
202410528.0,2024-10-06T20:20:00,1.0,2024,5,PIT,DAL,HOME,17.0,20.0,37.0,Acrisure Stadium,3.0,0.0,7.0,7.0,0.0,31.0,7.0,27:31,23.0,10.0,11.0,2.0,68.0,404.0,5.9,3.0,30.0,122.0,4.1,2.0,34.0,22.0,282.0,1.0,0.0,8.3,12.8,64.7,100.37,13.0,6.0,46.2,2.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,53.0,3.0,2.0,4.0,30.0,8.0,4.0,3.0,103.0,34.3,2.0,0.0,-2.0,3.0,3.0,0.0,14.0,0.0,28.0,53.0,32:29,22.0,7.0,13.0,2.0,64.0,358.0,5.6,3.0,32.0,133.0,4.2,1.0,30.0,19.0,225.0,2.0,0.0,7.5,11.8,63.3,108.33,15.0,8.0,53.3,0.0,0.0,0.0,5.0,3.0,0.0,0.0,4.0,38.0,1.0,0.0,2.0,14.0,9.0,5.0,4.0,170.0,42.5,0.0,2.0,2.0,75.0,0.0,60.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,39.0,30.0,2.0,14.0,2.0,1.0,0.0,47.0,19.0,4.0,30.0,5.0,2.0,2.0,Sunday,993004600,28,9,18729.0,-3.0,0,-2.0,0.462,0.0,19.0,14.3,4.7,333.6666666666667,273.0,-0.333,0.423,,75.0,53.0,3.0
202410625.0,2024-10-13T16:05:00,1.0,2024,6,PIT,LV,AWAY,32.0,13.0,45.0,Allegiant Stadium,3.0,9.0,10.0,10.0,0.0,27.0,31.0,31:51,17.0,6.0,7.0,4.0,57.0,226.0,4.0,2.0,26.0,92.0,3.5,0.0,28.0,16.0,134.0,2.0,0.0,4.8,8.4,57.1,93.45,12.0,3.0,25.0,2.0,2.0,100.0,2.0,2.0,0.0,0.0,8.0,50.0,2.0,1.0,3.0,16.0,6.0,3.0,5.0,222.0,44.4,1.0,3.0,2.0,7.0,0.0,0.0,6.0,0.0,32.0,29.0,28:09,25.0,9.0,14.0,2.0,75.0,445.0,5.9,2.0,31.0,109.0,3.5,0.0,42.0,29.0,336.0,2.0,2.0,8.0,11.6,69.0,88.99,15.0,9.0,60.0,1.0,1.0,100.0,4.0,1.0,0.0,0.0,11.0,87.0,2.0,1.0,2.0,16.0,8.0,4.0,1.0,45.0,45.0,3.0,1.0,-2.0,100.0,0.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,51.0,22.0,2.0,16.0,6.0,2.0,1.0,35.0,21.0,3.0,16.0,5.0,2.0,1.0,Sunday,993004619,28,25,18734.0,19.0,1,2.0,0.25,0.0,20.3,19.0,1.3,325.3333333333333,323.0,-0.333,0.404,0.6,92.0,73.0,3.0
202410728.0,2024-10-20T20:20:00,1.0,2024,7,PIT,NYJ,HOME,37.0,15.0,52.0,Acrisure Stadium,3.0,10.0,10.0,14.0,0.0,31.0,51.0,32:09,18.0,10.0,6.0,2.0,62.0,293.0,4.7,3.0,35.0,183.0,5.2,3.0,24.0,14.0,110.0,0.0,0.0,4.6,7.9,58.3,69.79,13.0,4.0,30.8,1.0,1.0,100.0,4.0,2.0,0.0,0.0,7.0,50.0,1.0,0.0,3.0,35.0,3.0,7.0,3.0,137.0,45.7,0.0,3.0,3.0,7.0,8.0,0.0,0.0,0.0,28.0,9.0,27:51,16.0,5.0,11.0,0.0,60.0,275.0,4.6,2.0,19.0,57.0,3.0,1.0,40.0,27.0,218.0,1.0,1.0,5.4,8.1,67.5,78.96,11.0,2.0,18.2,3.0,1.0,33.3,3.0,2.0,0.0,0.0,4.0,42.0,3.0,2.0,1.0,9.0,6.0,8.0,3.0,170.0,56.7,3.0,0.0,-3.0,50.0,0.0,66.7,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,18.0,1.0,9.0,5.0,2.0,2.0,34.0,41.0,3.0,35.0,4.0,0.0,0.0,Sunday,993004656,28,24,18752.0,22.0,1,3.0,0.308,0.0,24.3,20.0,4.3,307.6666666666667,359.3333333333333,1.0,0.34,0.6,124.0,86.0,4.0
202410828.0,2024-10-28T20:15:00,1.0,2024,8,PIT,NYG,HOME,26.0,18.0,44.0,Acrisure Stadium,6.0,3.0,7.0,10.0,0.0,32.0,9.0,29:18,21.0,8.0,12.0,1.0,66.0,409.0,6.2,4.0,36.0,149.0,4.1,2.0,29.0,16.0,260.0,2.0,0.0,9.0,16.2,55.2,108.41,14.0,5.0,35.7,2.0,2.0,100.0,6.0,4.0,0.0,0.0,4.0,36.0,0.0,0.0,1.0,4.0,8.0,5.0,4.0,184.0,46.0,0.0,2.0,2.0,3.0,6.0,0.0,9.0,0.0,27.0,51.0,30:42,17.0,3.0,13.0,1.0,55.0,323.0,5.9,2.0,15.0,54.0,3.6,1.0,39.0,24.0,269.0,1.0,2.0,6.9,11.2,61.5,69.28,10.0,3.0,30.0,2.0,1.0,50.0,3.0,2.0,0.0,0.0,5.0,50.0,2.0,0.0,1.0,7.0,5.0,4.0,4.0,177.0,44.2,2.0,0.0,-2.0,66.7,0.0,66.7,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,35.0,16.0,1.0,7.0,6.0,1.0,0.0,40.0,29.0,1.0,4.0,3.0,0.0,0.0,Monday,993004692,28,23,18763.0,8.0,1,2.0,0.357,0.0,28.7,16.0,12.7,309.3333333333333,347.6666666666667,2.333,0.305,0.6,161.0,101.0,5.0
202411035.0,2024-11-10T13:00:00,1.0,2024,10,PIT,WAS,AWAY,28.0,27.0,55.0,Northwest Stadium,7.0,7.0,7.0,7.0,0.0,29.0,18.0,36:11,20.0,6.0,12.0,2.0,63.0,426.0,6.8,2.0,31.0,167.0,5.4,0.0,28.0,20.0,259.0,1.0,0.0,9.2,13.0,71.4,112.05,13.0,6.0,46.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,50.0,1.0,1.0,4.0,19.0,12.0,6.0,3.0,131.0,43.7,1.0,2.0,1.0,7.0,10.0,10.0,0.0,0.0,30.0,42.0,23:49,17.0,6.0,10.0,1.0,67.0,394.0,5.9,1.0,25.0,157.0,6.3,1.0,38.0,24.0,237.0,0.0,1.0,6.2,9.9,63.2,69.74,15.0,5.0,33.3,1.0,1.0,100.0,3.0,0.0,0.0,0.0,11.0,65.0,1.0,1.0,4.0,27.0,8.0,5.0,4.0,192.0,48.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,40.0,30.0,4.0,27.0,4.0,1.0,1.0,40.0,33.0,4.0,19.0,2.0,1.0,1.0,Sunday,993004735,28,35,18776.0,1.0,1,1.0,0.462,0.0,31.7,15.3,16.3,376.0,330.6666666666667,2.0,0.375,0.6,187.0,119.0,6.0
202411128.0,2024-11-17T13:00:00,1.0,2024,11,PIT,BAL,HOME,18.0,16.0,34.0,Acrisure Stadium,3.0,6.0,6.0,3.0,0.0,36.0,11.0,36:22,21.0,9.0,9.0,3.0,75.0,312.0,4.2,4.0,43.0,140.0,3.3,1.0,29.0,14.0,172.0,3.0,1.0,5.9,12.3,48.3,87.14,16.0,7.0,43.8,2.0,1.0,50.0,4.0,3.0,0.0,0.0,5.0,49.0,1.0,1.0,3.0,23.0,6.0,9.0,5.0,212.0,42.4,2.0,1.0,-1.0,0.0,7.0,3.0,6.0,0.0,23.0,49.0,23:38,19.0,9.0,7.0,3.0,59.0,242.0,4.1,3.0,22.0,60.0,2.7,3.0,34.0,17.0,182.0,0.0,0.0,5.4,10.7,50.0,66.05,14.0,5.0,35.7,1.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,41.0,2.0,1.0,3.0,20.0,6.0,5.0,6.0,330.0,55.0,1.0,2.0,1.0,75.0,0.0,100.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,7.0,3.0,20.0,5.0,0.0,1.0,38.0,41.0,3.0,23.0,2.0,1.0,1.0,Sunday,993004764,28,3,18818.0,2.0,1,-1.0,0.438,0.0,30.3,20.0,10.3,382.3333333333333,319.6666666666667,0.667,0.419,0.8,215.0,146.0,7.0
