gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202410106.0,2024-09-08T13:00:00,,2024,1,TEN,CHI,AWAY,17.0,24.0,41.0,Soldier Field,7.0,10.0,0.0,0.0,0.0,,,34:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,7.0,14.0,0.0,,,25:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004453,34,6,,-7.0,0,,,,,,,,,,,,,,
202410234.0,2024-09-15T13:00:00,1.0,2024,2,TEN,NYJ,HOME,17.0,24.0,41.0,Nissan Stadium,7.0,3.0,7.0,0.0,0.0,34.0,54.0,29:57,16.0,9.0,6.0,1.0,61.0,244.0,4.0,2.0,26.0,140.0,5.4,1.0,32.0,19.0,104.0,1.0,2.0,3.2,5.5,59.4,49.48,14.0,3.0,21.4,2.0,1.0,50.0,2.0,1.0,0.0,0.0,8.0,50.0,1.0,1.0,3.0,23.0,4.0,8.0,5.0,268.0,53.6,3.0,1.0,-2.0,0.0,7.0,10.0,7.0,0.0,25.0,6.0,30:03,11.0,6.0,5.0,0.0,53.0,148.0,2.8,2.0,22.0,84.0,3.8,0.0,29.0,14.0,64.0,0.0,0.0,2.2,4.6,48.3,54.81,13.0,2.0,15.4,2.0,2.0,100.0,1.0,0.0,0.0,0.0,7.0,55.0,3.0,1.0,2.0,29.0,10.0,8.0,6.0,270.0,45.0,1.0,3.0,2.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,34.0,17.0,2.0,29.0,5.0,1.0,1.0,41.0,21.0,3.0,23.0,4.0,1.0,1.0,Sunday,993004488,34,24,18677.0,-7.0,0,-2.0,0.214,0.0,,,,,,,,,17.0,24.0,0.0
202410334.0,2024-09-22T13:00:00,1.0,2024,3,TEN,GB,HOME,14.0,30.0,44.0,Nissan Stadium,7.0,0.0,7.0,0.0,0.0,29.0,57.0,27:32,20.0,9.0,7.0,4.0,60.0,300.0,5.0,2.0,28.0,130.0,4.6,1.0,28.0,19.0,170.0,1.0,1.0,6.1,8.9,67.9,80.95,12.0,5.0,41.7,1.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,45.0,1.0,1.0,4.0,22.0,3.0,6.0,4.0,226.0,56.5,2.0,0.0,-2.0,17.0,3.0,7.0,3.0,0.0,30.0,3.0,32:28,16.0,6.0,9.0,1.0,56.0,265.0,4.7,3.0,24.0,101.0,4.2,1.0,30.0,18.0,164.0,2.0,0.0,5.5,9.1,60.0,97.08,12.0,5.0,41.7,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,70.0,0.0,0.0,2.0,12.0,6.0,6.0,6.0,302.0,50.3,0.0,2.0,2.0,25.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.0,14.0,2.0,12.0,2.0,0.0,0.0,47.0,15.0,4.0,22.0,5.0,1.0,1.0,Sunday,993004516,34,12,18698.0,-16.0,0,-2.0,0.417,0.0,,,,,,,,,34.0,48.0,0.0
202410419.0,2024-09-30T19:30:00,1.0,2024,4,TEN,MIA,AWAY,31.0,12.0,43.0,Hard Rock Stadium,0.0,9.0,10.0,12.0,0.0,27.0,32.0,34:52,18.0,3.0,14.0,1.0,53.0,237.0,4.5,2.0,11.0,33.0,3.0,0.0,34.0,26.0,204.0,2.0,2.0,6.0,7.8,76.5,85.91,9.0,3.0,33.3,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,15.0,1.0,1.0,8.0,56.0,3.0,6.0,4.0,187.0,46.8,3.0,0.0,-3.0,0.0,3.0,3.0,6.0,0.0,32.0,28.0,25:08,16.0,9.0,6.0,1.0,59.0,378.0,6.4,3.0,37.0,188.0,5.1,1.0,19.0,13.0,190.0,1.0,0.0,10.0,14.6,68.4,118.31,14.0,5.0,35.7,0.0,0.0,0.0,3.0,1.0,0.0,0.0,10.0,75.0,0.0,0.0,3.0,12.0,12.0,6.0,5.0,244.0,48.8,0.0,3.0,3.0,100.0,0.0,33.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,47.0,20.0,3.0,12.0,0.0,0.0,0.0,35.0,17.0,8.0,56.0,2.0,1.0,1.0,Monday,993004571,34,19,18715.0,19.0,1,-3.0,0.333,0.0,16.0,26.0,-10.0,260.3333333333333,263.6666666666667,-2.333,0.321,,48.0,78.0,0.0
202410634.0,2024-10-13T13:00:00,1.0,2024,6,TEN,IND,HOME,17.0,20.0,37.0,Nissan Stadium,7.0,3.0,7.0,0.0,0.0,34.0,52.0,30:32,16.0,8.0,5.0,3.0,62.0,244.0,3.9,2.0,40.0,142.0,3.6,2.0,21.0,12.0,102.0,0.0,1.0,4.9,8.5,57.1,50.1,12.0,2.0,16.7,1.0,1.0,100.0,3.0,2.0,0.0,0.0,8.0,69.0,0.0,0.0,1.0,8.0,5.0,7.0,5.0,209.0,41.8,1.0,1.0,0.0,7.0,3.0,0.0,10.0,0.0,25.0,8.0,29:28,13.0,6.0,4.0,3.0,54.0,184.0,3.4,1.0,30.0,106.0,3.5,1.0,22.0,14.0,78.0,0.0,0.0,3.5,5.6,63.6,69.89,12.0,2.0,16.7,3.0,1.0,33.3,1.0,1.0,0.0,0.0,10.0,98.0,1.0,1.0,2.0,18.0,3.0,8.0,5.0,238.0,47.6,1.0,1.0,0.0,66.7,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,34.0,24.0,2.0,18.0,1.0,0.0,1.0,37.0,32.0,1.0,8.0,4.0,0.0,0.0,Sunday,993004616,34,14,18718.0,-3.0,0,0.0,0.167,0.0,20.7,22.0,-1.3,260.3333333333333,275.6666666666667,-1.667,0.306,,79.0,90.0,1.0
202410704.0,2024-10-20T13:00:00,1.0,2024,7,TEN,BUF,AWAY,10.0,34.0,44.0,Highmark Stadium,3.0,7.0,0.0,0.0,0.0,30.0,32.0,32:46,16.0,7.0,7.0,2.0,55.0,241.0,4.4,2.0,28.0,146.0,5.2,1.0,27.0,16.0,95.0,1.0,1.0,3.5,5.9,59.3,63.04,11.0,4.0,36.4,1.0,1.0,100.0,2.0,2.0,0.0,0.0,11.0,113.0,1.0,0.0,0.0,0.0,2.0,6.0,5.0,289.0,57.8,1.0,1.0,0.0,0.0,7.0,10.0,17.0,0.0,29.0,28.0,27:14,20.0,4.0,11.0,5.0,66.0,269.0,4.1,2.0,28.0,80.0,2.9,0.0,38.0,22.0,189.0,2.0,1.0,5.0,8.6,57.9,77.63,15.0,7.0,46.7,1.0,1.0,100.0,3.0,1.0,0.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,271.0,54.2,1.0,1.0,0.0,100.0,0.0,33.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,42.0,20.0,0.0,0.0,3.0,0.0,0.0,42.0,16.0,0.0,0.0,7.0,1.0,0.0,Sunday,993004637,34,4,18758.0,-24.0,0,0.0,0.364,0.0,20.7,20.7,0.0,240.66666666666666,277.0,-1.0,0.288,0.2,96.0,110.0,1.0
202410811.0,2024-10-27T13:00:00,1.0,2024,8,TEN,DET,AWAY,14.0,52.0,66.0,Ford Field,7.0,7.0,0.0,0.0,0.0,32.0,46.0,35:37,18.0,2.0,13.0,3.0,67.0,289.0,4.3,1.0,24.0,89.0,3.7,0.0,40.0,25.0,200.0,1.0,1.0,5.0,8.0,62.5,72.92,16.0,6.0,37.5,2.0,1.0,50.0,3.0,1.0,0.0,0.0,8.0,52.0,4.0,1.0,3.0,15.0,4.0,6.0,5.0,266.0,53.2,2.0,0.0,-2.0,14.0,21.0,17.0,0.0,0.0,27.0,14.0,24:23,18.0,3.0,14.0,1.0,54.0,389.0,7.2,4.0,20.0,74.0,3.7,2.0,33.0,21.0,315.0,2.0,0.0,9.5,15.0,63.6,115.09,10.0,3.0,30.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,5.0,40.0,1.0,0.0,1.0,8.0,11.0,7.0,5.0,197.0,39.4,0.0,2.0,2.0,33.3,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,16.0,1.0,8.0,6.0,1.0,0.0,43.0,25.0,3.0,15.0,5.0,2.0,1.0,Sunday,993004675,34,11,18768.0,-38.0,0,-2.0,0.375,0.0,19.3,22.0,-2.7,258.0,280.6666666666667,-0.667,0.302,0.2,106.0,144.0,1.0
202410934.0,2024-11-03T13:00:00,1.0,2024,9,TEN,NE,HOME,20.0,17.0,37.0,Nissan Stadium,7.0,0.0,3.0,7.0,3.0,35.0,37.0,38:44,23.0,9.0,12.0,2.0,71.0,416.0,5.9,2.0,32.0,158.0,4.9,1.0,38.0,22.0,258.0,1.0,2.0,6.8,11.7,57.9,65.46,11.0,3.0,27.3,2.0,1.0,50.0,4.0,2.0,0.0,0.0,8.0,60.0,3.0,2.0,1.0,8.0,5.0,7.0,6.0,296.0,49.3,4.0,0.0,-4.0,0.0,3.0,7.0,7.0,0.0,24.0,23.0,29:09,17.0,5.0,9.0,3.0,47.0,225.0,4.8,7.0,24.0,164.0,6.8,2.0,19.0,15.0,61.0,4.0,0.0,3.2,4.1,78.9,119.63,9.0,3.0,33.3,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,29.0,2.0,0.0,4.0,33.0,5.0,3.0,5.0,305.0,61.0,0.0,4.0,4.0,50.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,25.0,4.0,33.0,1.0,2.0,0.0,44.0,22.0,1.0,8.0,5.0,3.0,2.0,Sunday,993004706,34,21,18784.0,3.0,1,-4.0,0.273,0.0,13.7,35.3,-21.7,315.3333333333333,294.3333333333333,-2.0,0.337,0.2,120.0,196.0,1.0
202411029.0,2024-11-10T16:05:00,1.0,2024,10,TEN,LAC,AWAY,17.0,27.0,44.0,SoFi Stadium,7.0,0.0,3.0,7.0,0.0,38.0,44.0,29:01,24.0,9.0,13.0,2.0,73.0,400.0,5.5,2.0,39.0,167.0,4.3,0.0,33.0,20.0,233.0,2.0,1.0,7.1,11.6,60.6,89.58,16.0,7.0,43.8,1.0,0.0,0.0,5.0,2.0,0.0,0.0,10.0,67.0,3.0,0.0,1.0,7.0,9.0,9.0,5.0,233.0,46.6,1.0,3.0,2.0,3.0,10.0,7.0,7.0,0.0,29.0,9.0,30:59,20.0,7.0,10.0,3.0,65.0,295.0,4.5,2.0,20.0,110.0,5.5,1.0,41.0,29.0,185.0,1.0,2.0,4.5,6.4,70.7,67.63,11.0,3.0,27.3,1.0,1.0,100.0,2.0,2.0,0.0,0.0,8.0,58.0,2.0,1.0,4.0,21.0,4.0,5.0,4.0,169.0,42.2,3.0,1.0,-2.0,40.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,38.0,30.0,4.0,21.0,7.0,1.0,1.0,48.0,25.0,1.0,7.0,4.0,2.0,0.0,Sunday,993004741,34,29,18805.0,-10.0,0,2.0,0.438,0.0,14.7,34.3,-19.7,368.3333333333333,303.0,-1.333,0.362,0.4,140.0,213.0,2.0
202411134.0,2024-11-17T13:00:00,1.0,2024,11,TEN,MIN,HOME,13.0,23.0,36.0,Nissan Stadium,3.0,0.0,7.0,3.0,0.0,29.0,1.0,27:29,19.0,8.0,10.0,1.0,51.0,289.0,5.7,2.0,21.0,132.0,6.3,0.0,23.0,18.0,157.0,2.0,0.0,6.8,8.7,78.3,124.09,9.0,3.0,33.3,0.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0,68.0,1.0,0.0,7.0,18.0,2.0,4.0,4.0,214.0,53.5,0.0,0.0,0.0,7.0,9.0,7.0,0.0,0.0,30.0,59.0,32:31,23.0,11.0,8.0,4.0,57.0,309.0,5.4,3.0,39.0,145.0,3.7,2.0,18.0,14.0,164.0,1.0,0.0,9.1,11.7,77.8,123.15,10.0,4.0,40.0,1.0,1.0,100.0,5.0,3.0,0.0,0.0,5.0,30.0,0.0,0.0,0.0,0.0,9.0,8.0,3.0,116.0,38.7,0.0,0.0,0.0,33.3,0.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,23.0,0.0,0.0,3.0,0.0,0.0,38.0,17.0,7.0,18.0,1.0,1.0,0.0,Sunday,993004766,34,20,18811.0,-10.0,0,0.0,0.333,0.0,17.0,32.0,-15.0,368.3333333333333,276.3333333333333,-0.667,0.348,0.2,157.0,240.0,2.0
