gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202410126.0,2024-09-06T20:15:00,1,2024,1,GB,PHI,AWAY,29.0,34.0,63.0,Arena Corinthians,6.0,13.0,7.0,3.0,0.0,,,27:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17.0,14.0,3.0,0.0,,,32:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,993004449,12,26,,-5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202410212.0,2024-09-15T13:00:00,1,2024,2,GB,IND,HOME,16.0,10.0,26.0,Lambeau Field,10.0,0.0,3.0,3.0,0.0,27.0,13.0,40:11,19.0,7.0,9.0,3.0,58.0,414.0,7.1,3.0,21.0,163.0,7.8,1.0,35.0,17.0,251.0,2.0,1.0,7.2,14.8,48.6,79.58,11.0,3.0,27.3,1.0,1.0,100.0,4.0,1.0,0.0,0.0,10.0,71.0,1.0,0.0,2.0,9.0,5.0,7.0,2.0,74.0,37.0,1.0,3.0,2.0,0.0,0.0,3.0,7.0,0.0,32.0,47.0,19:49,25.0,8.0,14.0,3.0,74.0,410.0,5.5,4.0,38.0,144.0,3.8,2.0,34.0,20.0,266.0,2.0,2.0,7.8,13.3,58.8,78.8,14.0,4.0,28.6,1.0,1.0,100.0,6.0,3.0,0.0,0.0,7.0,57.0,2.0,1.0,2.0,12.0,5.0,4.0,2.0,101.0,50.5,3.0,1.0,-2.0,25.0,0.0,50.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,46.0,26.0,2.0,12.0,6.0,0.0,1.0,30.0,24.0,2.0,9.0,4.0,1.0,0.0,Sunday,993004486,12,14,18683.0,6.0,1,2.0,0.273,0.0,0.0915969554592704,0.4705882352941176,0.0903825377184479,0.1993178266304359,0.1035854556812442,0.5263157894736842,0.3622327596531249,-0.2866811436617316,29.0,34.0,-5.0,414.0,410.0,2.0,0.273,0.0,29.0,34.0,0.0,0.0915969554592704,0.4705882352941176,0.0903825377184479,0.1993178266304359,0.1035854556812442,0.5263157894736842,0.3622327596531249,-0.2866811436617316,0.0915969554592704,0.1035854556812442
202410334.0,2024-09-22T13:00:00,1,2024,3,GB,TEN,AWAY,30.0,14.0,44.0,Nissan Stadium,17.0,3.0,7.0,3.0,0.0,40.0,11.0,32:28,19.0,13.0,6.0,0.0,67.0,383.0,5.7,1.0,53.0,261.0,4.9,0.0,14.0,12.0,122.0,1.0,0.0,8.7,10.2,85.7,126.79,17.0,10.0,58.8,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,50.0,2.0,1.0,0.0,0.0,3.0,4.0,3.0,139.0,46.3,1.0,3.0,2.0,7.0,0.0,7.0,0.0,0.0,19.0,49.0,27:32,19.0,8.0,10.0,1.0,53.0,338.0,6.4,1.0,18.0,140.0,7.8,0.0,34.0,17.0,198.0,1.0,3.0,5.8,11.6,50.0,41.05,9.0,2.0,22.2,2.0,1.0,50.0,2.0,1.0,0.0,0.0,3.0,20.0,3.0,0.0,1.0,6.0,0.0,6.0,3.0,161.0,53.7,3.0,1.0,-2.0,33.3,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,30.0,11.0,1.0,6.0,7.0,1.0,0.0,58.0,33.0,0.0,0.0,1.0,1.0,1.0,Sunday,993004515,12,34,18694.0,16.0,1,2.0,0.588,0.0,0.0009397620758517466,0.3975903614457831,0.4418844655554189,-0.2107874665018285,-0.0979898379403984,0.463768115942029,-0.1197076731720999,-0.0484050159034395,22.5,22.0,0.5,398.5,374.0,2.0,0.43,0.5,45.0,44.0,1.0,0.04626835876756107,0.43408929836995036,0.2661335016369334,-0.0057348199356963,0.002797808870422906,0.49504195270785656,0.1212625432405125,-0.16754307978258554,0.04626835876756107,0.002797808870422906
202410412.0,2024-09-29T13:00:00,1,2024,4,GB,MIN,HOME,29.0,31.0,60.0,Lambeau Field,0.0,7.0,0.0,22.0,0.0,32.0,28.0,27:45,16.0,9.0,6.0,1.0,59.0,378.0,6.4,3.0,37.0,188.0,5.1,1.0,19.0,13.0,190.0,1.0,0.0,10.0,14.6,68.4,118.31,14.0,5.0,35.7,0.0,0.0,0.0,3.0,1.0,0.0,0.0,10.0,75.0,0.0,0.0,3.0,12.0,12.0,6.0,5.0,244.0,48.8,0.0,3.0,3.0,14.0,14.0,0.0,3.0,0.0,27.0,32.0,32:15,18.0,3.0,14.0,1.0,53.0,237.0,4.5,2.0,11.0,33.0,3.0,0.0,34.0,26.0,204.0,2.0,2.0,6.0,7.8,76.5,85.91,9.0,3.0,33.3,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,15.0,1.0,1.0,8.0,56.0,3.0,6.0,4.0,187.0,46.8,3.0,0.0,-3.0,33.3,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,17.0,8.0,56.0,2.0,1.0,1.0,47.0,20.0,3.0,12.0,0.0,0.0,0.0,Sunday,993004556,12,20,18715.0,-2.0,0,3.0,0.357,0.0,0.0624807968710381,0.4074074074074074,0.2683323610742888,-0.0976765025029512,-0.2474732011053999,0.5,-0.378794147211334,-0.1864388489112672,25.0,19.3,5.7,391.6666666666667,328.3333333333333,2.333,0.406,0.667,75.0,58.0,2.0,0.05167250480205341,0.4251953347157693,0.26686645478271853,-0.0363820474581146,-0.08062586112151802,0.49669463513857104,-0.04542302024343633,-0.17384166949214608,0.05167250480205341,-0.08062586112151802
202410532.0,2024-10-06T16:25:00,1,2024,5,GB,LAR,AWAY,24.0,19.0,43.0,SoFi Stadium,7.0,3.0,14.0,0.0,0.0,27.0,45.0,27:19,24.0,3.0,19.0,2.0,74.0,465.0,6.3,4.0,19.0,86.0,4.5,0.0,54.0,32.0,379.0,4.0,3.0,7.0,11.8,59.3,82.25,12.0,4.0,33.3,2.0,0.0,0.0,5.0,4.0,0.0,0.0,8.0,68.0,1.0,1.0,1.0,10.0,3.0,5.0,3.0,180.0,60.0,4.0,3.0,-1.0,0.0,13.0,0.0,6.0,0.0,32.0,15.0,32:41,22.0,8.0,11.0,3.0,64.0,374.0,5.8,4.0,34.0,120.0,3.5,1.0,28.0,20.0,254.0,3.0,1.0,9.1,12.7,71.4,120.24,11.0,4.0,36.4,1.0,0.0,0.0,5.0,3.0,0.0,0.0,7.0,55.0,2.0,2.0,2.0,21.0,10.0,3.0,5.0,225.0,45.0,3.0,4.0,1.0,80.0,0.0,60.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,23.0,2.0,21.0,2.0,1.0,2.0,41.0,23.0,1.0,10.0,12.0,1.0,1.0,Sunday,993004595,12,32,18727.0,5.0,1,-1.0,0.333,0.0,-0.0733524636134963,0.4623655913978494,-0.0938041545706096,-0.1009874709998257,0.0005203807013697649,0.5,0.3489769685741412,-0.3112763934106373,25.0,18.3,6.7,408.6666666666667,316.3333333333333,1.333,0.426,0.5,104.0,89.0,2.0,-0.0033106348888688186,0.4224544534170133,0.20547089068636604,-0.13648381333486845,-0.1149808861148095,0.4879227053140096,-0.049841617269764237,-0.18204008607511465,0.020416262698165984,-0.060339300665796076
202410612.0,2024-10-13T13:00:00,1,2024,6,GB,ARI,HOME,34.0,13.0,47.0,Lambeau Field,7.0,17.0,7.0,3.0,0.0,27.0,19.0,36:35,19.0,9.0,8.0,2.0,58.0,323.0,5.6,3.0,30.0,126.0,4.2,1.0,26.0,15.0,197.0,2.0,1.0,7.6,13.1,57.7,91.35,8.0,1.0,12.5,0.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,34.0,1.0,0.0,2.0,27.0,10.0,4.0,5.0,186.0,37.2,1.0,2.0,1.0,0.0,10.0,3.0,0.0,0.0,32.0,41.0,23:25,24.0,12.0,11.0,1.0,76.0,370.0,4.9,3.0,28.0,134.0,4.8,1.0,45.0,29.0,236.0,1.0,1.0,5.2,8.1,64.4,75.79,16.0,8.0,50.0,4.0,2.0,50.0,3.0,2.0,0.0,0.0,5.0,30.0,1.0,1.0,3.0,24.0,3.0,4.0,3.0,129.0,43.0,2.0,1.0,-1.0,66.7,0.0,66.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,42.0,3.0,24.0,5.0,1.0,1.0,35.0,25.0,2.0,27.0,4.0,1.0,0.0,Sunday,993004610,12,1,18735.0,21.0,1,1.0,0.125,0.0,0.0066157089246227,0.4415584415584415,0.0886341088319003,-0.0228330508107319,-0.0741886302726317,0.5384615384615384,-0.1469863642788758,0.0508898492227146,27.7,21.3,6.3,388.6666666666667,327.0,1.0,0.272,0.6,128.0,108.0,3.0,-0.0014186526059451676,0.4371104801212327,0.08772077177852651,-0.07383234143783628,-0.10704715022555394,0.5128205128205128,-0.0589345143053562,-0.14894179769972996,0.017656151943457328,-0.0631091665871632
202410712.0,2024-10-20T13:00:00,1,2024,7,GB,HOU,HOME,24.0,22.0,46.0,Lambeau Field,0.0,14.0,7.0,3.0,0.0,36.0,35.0,28:43,27.0,9.0,15.0,3.0,70.0,437.0,6.2,4.0,38.0,179.0,4.7,0.0,32.0,22.0,258.0,4.0,1.0,8.1,11.7,68.8,119.53,12.0,7.0,58.3,1.0,1.0,100.0,4.0,2.0,0.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,46.0,46.0,1.0,3.0,2.0,3.0,16.0,0.0,3.0,0.0,23.0,25.0,31:17,16.0,5.0,8.0,3.0,55.0,303.0,5.5,1.0,23.0,89.0,3.9,0.0,32.0,22.0,214.0,1.0,0.0,6.7,9.7,68.8,97.66,10.0,4.0,40.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,13.0,100.0,3.0,3.0,0.0,0.0,2.0,3.0,4.0,211.0,52.8,3.0,1.0,-2.0,50.0,0.0,33.3,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,13.0,0.0,0.0,2.0,2.0,3.0,42.0,37.0,0.0,0.0,5.0,0.0,0.0,Sunday,993004648,12,13,18754.0,2.0,1,2.0,0.583,0.0,0.1574370720913961,0.5384615384615384,0.5308025132291252,-0.0171278962259427,-0.1305823804967733,0.4933333333333333,-0.0606282564740474,-0.2932969766123662,29.0,21.0,8.0,408.3333333333333,349.0,0.667,0.347,0.8,162.0,121.0,4.0,0.030233439134174162,0.48079519047260977,0.1752108224968053,-0.04698280601216676,-0.06808354335601174,0.5105982905982905,0.04712078260707266,-0.18456117360009627,0.03082417526988247,-0.10994273382276672
202410815.0,2024-10-27T13:00:00,1,2024,8,GB,JAX,AWAY,30.0,27.0,57.0,EverBank Stadium,0.0,13.0,7.0,10.0,0.0,28.0,43.0,34:09,18.0,4.0,12.0,2.0,56.0,277.0,4.9,3.0,20.0,82.0,4.1,0.0,33.0,24.0,195.0,3.0,2.0,5.9,8.1,72.7,92.36,10.0,4.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,55.0,1.0,1.0,3.0,25.0,7.0,11.0,5.0,284.0,56.8,3.0,0.0,-3.0,0.0,10.0,7.0,10.0,0.0,31.0,17.0,25:51,15.0,9.0,6.0,0.0,58.0,197.0,3.4,2.0,33.0,142.0,4.3,2.0,21.0,10.0,55.0,0.0,0.0,2.6,5.5,47.6,54.27,13.0,4.0,30.8,0.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,55.0,0.0,0.0,4.0,31.0,6.0,8.0,6.0,307.0,51.2,0.0,3.0,3.0,100.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,38.0,23.0,4.0,31.0,1.0,0.0,0.0,41.0,7.0,3.0,25.0,5.0,0.0,1.0,Sunday,993004665,12,15,18770.0,3.0,1,-3.0,0.4,0.0,0.0302909643088758,0.48,0.0587592107726576,-0.1879198227601591,0.0400836103779339,0.4810126582278481,-0.2831041057794105,0.0009448700166728754,27.3,18.0,9.3,345.6666666666667,290.0,0.0,0.369,0.8,186.0,143.0,5.0,0.06478124844163152,0.4866733266733266,0.22606527761122772,-0.07596025659894456,-0.05489580013049036,0.5042691766742399,-0.16357290884411121,-0.08048741912432623,0.03669441571648727,-0.08232804415910025
202410912.0,2024-11-03T16:25:00,1,2024,9,GB,DET,HOME,14.0,24.0,38.0,Lambeau Field,3.0,0.0,3.0,8.0,0.0,34.0,9.0,28:49,22.0,8.0,11.0,3.0,67.0,422.0,6.3,3.0,39.0,170.0,4.4,2.0,27.0,18.0,252.0,1.0,1.0,9.3,14.0,66.7,93.44,11.0,3.0,27.3,0.0,0.0,0.0,6.0,2.0,0.0,0.0,3.0,20.0,0.0,0.0,1.0,0.0,4.0,3.0,5.0,241.0,48.2,1.0,2.0,1.0,0.0,17.0,7.0,0.0,0.0,25.0,51.0,31:11,19.0,5.0,14.0,0.0,56.0,390.0,7.0,3.0,23.0,91.0,4.0,1.0,32.0,21.0,299.0,2.0,1.0,9.3,14.2,65.6,103.52,9.0,1.0,11.1,1.0,1.0,100.0,3.0,3.0,0.0,0.0,8.0,59.0,2.0,1.0,1.0,9.0,4.0,5.0,5.0,298.0,59.6,2.0,1.0,-1.0,33.3,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,33.0,28.0,1.0,9.0,5.0,1.0,1.0,40.0,29.0,1.0,0.0,1.0,0.0,0.0,Sunday,993004716,12,11,18786.0,-10.0,0,1.0,0.273,0.0,0.1314517912143023,0.4888888888888889,0.3394203689559766,-0.0069555517402477,0.0622832565343701,0.5064935064935064,0.0851738145687145,-0.033935231661502,29.3,20.7,8.7,378.6666666666667,296.6666666666667,0.0,0.419,0.8,216.0,170.0,6.0,0.10639327587152474,0.5024501424501424,0.30966069765258647,-0.07066775690878316,-0.0094051711948231,0.49361316601822924,-0.08618618256158113,-0.10876244608573177,0.05048861458514011,-0.020376752631146248
202411106.0,2024-11-17T13:00:00,1,2024,11,GB,CHI,AWAY,20.0,19.0,39.0,Soldier Field,7.0,0.0,7.0,6.0,0.0,28.0,49.0,23:39,20.0,7.0,10.0,3.0,62.0,411.0,6.6,1.0,23.0,138.0,6.0,1.0,39.0,23.0,273.0,0.0,1.0,7.0,11.9,59.0,69.71,12.0,3.0,25.0,3.0,2.0,66.7,4.0,1.0,0.0,0.0,10.0,67.0,3.0,0.0,0.0,0.0,4.0,3.0,2.0,84.0,42.0,1.0,0.0,-1.0,3.0,7.0,9.0,0.0,0.0,31.0,11.0,36:21,17.0,8.0,8.0,1.0,55.0,261.0,4.7,3.0,32.0,124.0,3.9,1.0,22.0,18.0,137.0,1.0,0.0,6.2,7.6,81.8,107.77,12.0,4.0,33.3,2.0,2.0,100.0,4.0,2.0,0.0,0.0,5.0,51.0,0.0,0.0,1.0,8.0,2.0,1.0,4.0,199.0,49.8,0.0,1.0,1.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,38.0,1.0,8.0,0.0,0.0,0.0,35.0,19.0,0.0,0.0,3.0,0.0,0.0,Sunday,993004754,12,6,18794.0,1.0,1,-1.0,0.25,0.0,-0.0558503147427457,0.475,-0.0339315488873464,0.0909363123935506,0.1078033171242291,0.5,0.3145720262573669,-0.019158305619688,22.7,24.3,-1.7,370.0,282.6666666666667,-1.0,0.308,0.8,230.0,194.0,6.0,0.03529748026014413,0.4812962962962963,0.12141601028042927,-0.03464635403561872,0.0700567280121777,0.49583538824045154,0.038880578348890305,-0.017382889088172374,0.053989044359290236,0.001079834653425618
