gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202310124.0,2023-09-11T20:15:00,,2023,1,BUF,NYJ,AWAY,16.0,22.0,38.0,MetLife Stadium,3.0,10.0,0.0,3.0,0.0,,,33:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,3.0,10.0,6.0,,,27:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,993003807,4,24,,-6.0,0,,,,,,,,,,,,,,
202310204.0,2023-09-17T13:00:00,1.0,2023,2,BUF,LV,HOME,38.0,10.0,48.0,Highmark Stadium,7.0,14.0,7.0,10.0,0.0,33.0,8.0,40:04,19.0,8.0,11.0,0.0,68.0,314.0,4.6,1.0,22.0,97.0,4.4,0.0,41.0,29.0,217.0,1.0,3.0,5.3,7.5,70.7,60.72,13.0,5.0,38.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,40.0,2.0,1.0,5.0,19.0,8.0,6.0,3.0,141.0,47.0,4.0,1.0,-3.0,7.0,3.0,0.0,0.0,0.0,27.0,50.0,19:56,13.0,5.0,7.0,1.0,53.0,289.0,5.5,2.0,28.0,172.0,6.1,0.0,22.0,14.0,117.0,1.0,1.0,5.3,8.4,63.6,73.48,13.0,5.0,38.5,1.0,1.0,100.0,3.0,1.0,0.0,0.0,2.0,10.0,1.0,0.0,3.0,23.0,9.0,8.0,4.0,174.0,43.5,1.0,4.0,3.0,50.0,0.0,33.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,37.0,24.0,3.0,23.0,2.0,1.0,0.0,52.0,19.0,5.0,19.0,4.0,1.0,1.0,Sunday,993003818,4,25,18344.0,28.0,1,-3.0,0.385,0.0,,,,,,,,,16.0,22.0,0.0
202310335.0,2023-09-24T13:00:00,1.0,2023,3,BUF,WAS,AWAY,37.0,3.0,40.0,FedEx Field,10.0,6.0,0.0,21.0,0.0,40.0,4.0,34:39,29.0,10.0,17.0,2.0,74.0,450.0,6.1,5.0,35.0,183.0,5.2,2.0,37.0,31.0,267.0,3.0,0.0,7.2,8.6,83.8,123.76,13.0,7.0,53.8,4.0,3.0,75.0,7.0,5.0,0.0,0.0,4.0,30.0,0.0,0.0,2.0,7.0,2.0,3.0,1.0,54.0,54.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,19.0,56.0,25:21,13.0,2.0,10.0,1.0,39.0,240.0,6.2,1.0,15.0,55.0,3.7,0.0,24.0,16.0,185.0,1.0,2.0,7.7,11.6,66.7,68.92,7.0,3.0,42.9,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,30.0,1.0,1.0,0.0,0.0,2.0,4.0,3.0,149.0,49.7,3.0,0.0,-3.0,71.4,0.0,50.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,15.0,0.0,0.0,5.0,1.0,1.0,54.0,26.0,2.0,7.0,2.0,0.0,0.0,Sunday,993003849,4,35,18558.0,34.0,1,3.0,0.538,0.0,,,,,,,,,54.0,32.0,1.0
202310404.0,2023-10-01T13:00:00,1.0,2023,4,BUF,MIA,HOME,48.0,20.0,68.0,Highmark Stadium,14.0,17.0,10.0,7.0,0.0,34.0,39.0,30:22,20.0,10.0,10.0,0.0,65.0,386.0,5.9,4.0,33.0,168.0,5.1,2.0,32.0,20.0,218.0,1.0,1.0,6.8,10.9,62.5,79.95,15.0,9.0,60.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,6.0,45.0,0.0,0.0,0.0,0.0,15.0,10.0,1.0,70.0,70.0,1.0,5.0,4.0,7.0,7.0,6.0,0.0,0.0,25.0,21.0,29:38,15.0,5.0,8.0,2.0,51.0,230.0,4.5,0.0,13.0,105.0,8.1,0.0,29.0,19.0,125.0,0.0,4.0,4.3,6.6,65.5,35.06,9.0,1.0,11.1,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,15.0,1.0,1.0,9.0,45.0,1.0,4.0,3.0,150.0,50.0,5.0,1.0,-4.0,50.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,21.0,9.0,45.0,5.0,1.0,1.0,44.0,25.0,0.0,0.0,8.0,0.0,0.0,Sunday,993003880,4,19,18461.0,28.0,1,4.0,0.6,0.0,30.3,11.7,18.7,383.3333333333333,253.0,1.333,0.508,,91.0,35.0,2.0
202310504.0,2023-10-08T09:30:00,1.0,2023,5,BUF,JAX,HOME,20.0,25.0,45.0,Tottenham Hotspur Stadium,0.0,7.0,0.0,13.0,0.0,30.0,22.0,21:48,24.0,8.0,14.0,2.0,56.0,414.0,7.4,6.0,29.0,104.0,3.6,2.0,25.0,21.0,310.0,4.0,0.0,12.4,14.8,84.0,157.92,10.0,5.0,50.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,4.0,20.0,0.0,0.0,2.0,10.0,9.0,5.0,2.0,93.0,46.5,0.0,2.0,2.0,11.0,0.0,0.0,14.0,0.0,29.0,38.0,38:12,20.0,8.0,12.0,0.0,58.0,393.0,6.8,3.0,19.0,142.0,7.5,2.0,35.0,25.0,251.0,1.0,1.0,7.2,10.0,71.4,89.11,10.0,3.0,30.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,98.0,4.0,1.0,4.0,31.0,3.0,6.0,3.0,138.0,46.0,2.0,0.0,-2.0,83.3,0.0,75.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,10.0,4.0,31.0,5.0,2.0,1.0,38.0,16.0,2.0,10.0,3.0,0.0,0.0,Sunday,993003908,4,15,18501.0,-5.0,0,2.0,0.5,0.0,41.0,11.0,30.0,416.6666666666667,287.6666666666667,3.0,0.546,,139.0,55.0,3.0
202310604.0,2023-10-15T20:20:00,1.0,2023,6,BUF,NYG,HOME,14.0,9.0,23.0,Highmark Stadium,0.0,0.0,0.0,14.0,0.0,21.0,48.0,28:36,18.0,3.0,13.0,2.0,54.0,388.0,7.2,3.0,14.0,29.0,2.1,1.0,40.0,27.0,359.0,2.0,1.0,9.0,13.3,67.5,101.98,12.0,5.0,41.7,0.0,0.0,0.0,3.0,3.0,0.0,0.0,11.0,109.0,2.0,1.0,0.0,0.0,8.0,5.0,6.0,258.0,43.0,2.0,2.0,0.0,3.0,3.0,0.0,3.0,0.0,38.0,12.0,31:24,29.0,9.0,16.0,4.0,82.0,474.0,5.8,3.0,40.0,196.0,4.9,2.0,37.0,25.0,278.0,1.0,0.0,7.5,11.1,67.6,98.7,18.0,10.0,55.6,0.0,0.0,0.0,4.0,2.0,0.0,0.0,8.0,56.0,4.0,2.0,5.0,37.0,6.0,3.0,5.0,247.0,49.4,2.0,2.0,0.0,100.0,0.0,50.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,58.0,28.0,5.0,37.0,7.0,3.0,2.0,32.0,9.0,0.0,0.0,3.0,1.0,1.0,Sunday,993003960,4,23,18333.0,5.0,1,0.0,0.417,0.0,35.0,16.0,19.0,396.0,365.6666666666667,2.0,0.506,0.6,159.0,80.0,3.0
202310721.0,2023-10-22T13:00:00,1.0,2023,7,BUF,NE,AWAY,25.0,29.0,54.0,Gillette Stadium,0.0,3.0,7.0,15.0,0.0,28.0,36.0,32:14,22.0,7.0,12.0,3.0,59.0,297.0,5.0,2.0,29.0,128.0,4.4,0.0,30.0,19.0,169.0,2.0,1.0,5.6,8.9,63.3,86.67,12.0,6.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,51.0,1.0,1.0,0.0,0.0,5.0,8.0,3.0,127.0,42.3,2.0,0.0,-2.0,10.0,3.0,3.0,13.0,0.0,31.0,24.0,27:46,20.0,5.0,11.0,4.0,73.0,317.0,4.3,0.0,34.0,132.0,3.9,0.0,36.0,24.0,185.0,0.0,0.0,5.1,7.7,66.7,79.05,19.0,10.0,52.6,2.0,1.0,50.0,5.0,0.0,0.0,0.0,9.0,65.0,1.0,0.0,3.0,15.0,1.0,2.0,4.0,202.0,50.5,0.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,50.0,23.0,3.0,15.0,2.0,0.0,0.0,40.0,16.0,0.0,0.0,3.0,1.0,1.0,Sunday,993003973,4,21,18370.0,-4.0,0,-2.0,0.5,0.0,27.3,18.0,9.3,366.3333333333333,394.6666666666667,0.0,0.472,0.8,173.0,89.0,4.0
202310804.0,2023-10-26T20:15:00,1.0,2023,8,BUF,TB,HOME,24.0,18.0,42.0,Highmark Stadium,3.0,14.0,7.0,0.0,0.0,32.0,14.0,31:57,24.0,7.0,14.0,3.0,66.0,339.0,5.1,3.0,24.0,81.0,3.4,1.0,41.0,27.0,258.0,2.0,1.0,6.3,9.6,65.9,89.28,12.0,5.0,41.7,3.0,2.0,66.7,4.0,2.0,0.0,0.0,9.0,46.0,1.0,1.0,1.0,7.0,4.0,5.0,1.0,55.0,55.0,2.0,1.0,-1.0,0.0,10.0,0.0,8.0,0.0,27.0,46.0,28:03,21.0,6.0,13.0,2.0,55.0,364.0,6.6,3.0,24.0,96.0,4.0,1.0,30.0,25.0,268.0,2.0,0.0,8.9,10.7,83.3,126.11,9.0,4.0,44.4,0.0,0.0,0.0,5.0,3.0,0.0,0.0,8.0,59.0,1.0,1.0,1.0,4.0,6.0,3.0,2.0,110.0,55.0,1.0,2.0,1.0,50.0,0.0,60.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,44.0,19.0,1.0,4.0,2.0,1.0,1.0,42.0,23.0,1.0,7.0,3.0,1.0,1.0,Thursday,993003990,4,33,18518.0,6.0,1,-1.0,0.417,0.0,19.7,21.0,-1.3,341.3333333333333,385.0,-1.0,0.444,0.6,198.0,118.0,4.0
202310907.0,2023-11-05T20:20:00,1.0,2023,9,BUF,CIN,AWAY,18.0,24.0,42.0,Paycor Stadium,0.0,0.0,0.0,0.0,18.0,31.0,57.0,23:22,25.0,8.0,16.0,1.0,68.0,427.0,6.3,3.0,26.0,115.0,4.4,1.0,40.0,31.0,312.0,2.0,1.0,7.8,10.1,77.5,105.42,13.0,7.0,53.8,1.0,0.0,0.0,4.0,2.0,0.0,0.0,9.0,86.0,0.0,0.0,2.0,12.0,10.0,3.0,4.0,180.0,45.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,24.0,28.0,3.0,36:38,17.0,3.0,10.0,4.0,62.0,302.0,4.9,2.0,17.0,78.0,4.6,0.0,42.0,25.0,224.0,2.0,0.0,5.3,9.0,59.5,89.78,15.0,4.0,26.7,1.0,1.0,100.0,1.0,1.0,0.0,0.0,11.0,74.0,2.0,0.0,3.0,13.0,3.0,4.0,6.0,305.0,50.8,0.0,1.0,1.0,50.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,37.0,17.0,3.0,13.0,8.0,0.0,0.0,48.0,24.0,2.0,12.0,6.0,0.0,0.0,Sunday,993004045,4,7,18572.0,-6.0,0,-1.0,0.538,0.0,21.0,18.7,2.3,354.3333333333333,327.6666666666667,-1.333,0.485,0.6,222.0,136.0,5.0
202311004.0,2023-11-13T20:15:00,1.0,2023,10,BUF,DEN,HOME,22.0,24.0,46.0,Highmark Stadium,0.0,8.0,7.0,7.0,0.0,23.0,22.0,22:39,21.0,9.0,11.0,1.0,55.0,317.0,5.8,2.0,16.0,68.0,4.2,1.0,38.0,26.0,249.0,1.0,1.0,6.6,9.6,68.4,84.21,12.0,7.0,58.3,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,49.0,1.0,1.0,1.0,9.0,7.0,4.0,3.0,127.0,42.3,2.0,0.0,-2.0,3.0,12.0,0.0,9.0,0.0,36.0,38.0,37:21,23.0,5.0,17.0,1.0,67.0,397.0,5.9,3.0,22.0,54.0,2.5,1.0,44.0,31.0,343.0,2.0,0.0,7.8,11.1,70.5,108.43,15.0,8.0,53.3,2.0,1.0,50.0,3.0,2.0,0.0,0.0,6.0,49.0,0.0,0.0,1.0,5.0,5.0,2.0,3.0,118.0,39.3,0.0,2.0,2.0,66.7,0.0,66.7,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,42.0,17.0,1.0,5.0,7.0,0.0,0.0,34.0,17.0,1.0,9.0,2.0,1.0,1.0,Monday,993004076,4,10,18383.0,-2.0,0,-2.0,0.583,0.0,22.3,23.7,-1.3,361.0,354.3333333333333,-1.333,0.513,0.4,240.0,160.0,5.0
