gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202310110.0,2023-09-10T16:25:00,,2023,1,LV,DEN,AWAY,17.0,16.0,33.0,Empower Field at Mile High,7.0,3.0,0.0,7.0,0.0,,,27:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,0.0,3.0,0.0,,,32:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003797,25,10,,1.0,1,,,,,,,,,,,,,,
202310204.0,2023-09-17T13:00:00,1.0,2023,2,LV,BUF,AWAY,10.0,38.0,48.0,Highmark Stadium,7.0,3.0,0.0,0.0,0.0,27.0,52.0,19:56,22.0,5.0,11.0,6.0,55.0,261.0,4.7,2.0,29.0,61.0,2.1,0.0,26.0,20.0,200.0,2.0,1.0,7.7,10.0,76.9,107.85,11.0,5.0,45.5,1.0,1.0,100.0,4.0,2.0,0.0,0.0,10.0,97.0,1.0,0.0,0.0,0.0,4.0,7.0,1.0,49.0,49.0,1.0,0.0,-1.0,7.0,14.0,7.0,10.0,0.0,32.0,8.0,40:04,22.0,5.0,11.0,6.0,58.0,260.0,4.5,2.0,22.0,94.0,4.3,0.0,34.0,27.0,166.0,2.0,0.0,4.9,6.1,79.4,106.62,11.0,5.0,45.5,0.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,83.0,0.0,0.0,2.0,11.0,3.0,1.0,2.0,80.0,40.0,0.0,1.0,1.0,50.0,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,38.0,25.0,2.0,11.0,1.0,0.0,0.0,31.0,23.0,0.0,0.0,5.0,0.0,0.0,Sunday,993003817,25,4,18495.0,-28.0,0,-1.0,0.455,0.0,,,,,,,,,17.0,16.0,1.0
202310325.0,2023-09-24T20:20:00,1.0,2023,3,LV,PIT,HOME,18.0,23.0,41.0,Allegiant Stadium,7.0,0.0,0.0,11.0,0.0,19.0,56.0,29:57,13.0,2.0,10.0,1.0,39.0,240.0,6.2,1.0,15.0,55.0,3.7,0.0,24.0,16.0,185.0,1.0,2.0,7.7,11.6,66.7,68.92,7.0,3.0,42.9,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,30.0,1.0,1.0,0.0,0.0,2.0,4.0,3.0,149.0,49.7,3.0,0.0,-3.0,7.0,6.0,10.0,0.0,0.0,40.0,4.0,30:03,29.0,10.0,17.0,2.0,74.0,450.0,6.1,5.0,35.0,183.0,5.2,2.0,37.0,31.0,267.0,3.0,0.0,7.2,8.6,83.8,123.76,13.0,7.0,53.8,4.0,3.0,75.0,7.0,5.0,0.0,0.0,4.0,30.0,0.0,0.0,2.0,7.0,2.0,3.0,1.0,54.0,54.0,0.0,3.0,3.0,50.0,0.0,71.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,26.0,2.0,7.0,2.0,0.0,0.0,26.0,15.0,0.0,0.0,5.0,1.0,1.0,Sunday,993003868,25,28,18558.0,-5.0,0,-3.0,0.429,0.0,,,,,,,,,27.0,54.0,1.0
202310429.0,2023-10-01T16:05:00,1.0,2023,4,LV,LAC,AWAY,17.0,24.0,41.0,SoFi Stadium,7.0,0.0,3.0,7.0,0.0,29.0,57.0,32:51,19.0,4.0,12.0,3.0,67.0,362.0,5.4,2.0,19.0,69.0,3.6,0.0,44.0,28.0,293.0,2.0,3.0,6.7,10.5,63.6,69.6,13.0,4.0,30.8,2.0,1.0,50.0,2.0,1.0,0.0,0.0,7.0,60.0,1.0,0.0,4.0,31.0,5.0,5.0,5.0,262.0,52.4,3.0,0.0,-3.0,7.0,17.0,0.0,0.0,0.0,30.0,3.0,27:09,17.0,5.0,10.0,2.0,60.0,333.0,5.6,2.0,31.0,105.0,3.4,0.0,28.0,16.0,228.0,2.0,0.0,8.1,14.2,57.1,107.44,15.0,6.0,40.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,45.0,0.0,0.0,1.0,7.0,8.0,5.0,6.0,323.0,53.8,0.0,3.0,3.0,50.0,0.0,100.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,37.0,24.0,1.0,7.0,3.0,0.0,0.0,41.0,16.0,4.0,31.0,6.0,0.0,0.0,Sunday,993003895,25,29,18467.0,-7.0,0,-3.0,0.308,0.0,15.0,25.7,-10.7,287.6666666666667,347.6666666666667,-2.333,0.397,,45.0,77.0,1.0
202310525.0,2023-10-09T20:15:00,1.0,2023,5,LV,GB,HOME,17.0,13.0,30.0,Allegiant Stadium,0.0,10.0,0.0,7.0,0.0,32.0,51.0,32:34,22.0,7.0,12.0,3.0,69.0,264.0,3.8,2.0,23.0,76.0,3.3,2.0,39.0,24.0,188.0,0.0,1.0,4.8,7.8,61.5,62.77,11.0,1.0,9.1,3.0,3.0,100.0,5.0,2.0,0.0,0.0,9.0,80.0,3.0,2.0,7.0,50.0,4.0,5.0,5.0,269.0,53.8,3.0,1.0,-2.0,3.0,0.0,10.0,0.0,0.0,27.0,9.0,27:26,16.0,7.0,6.0,3.0,63.0,305.0,4.8,3.0,37.0,155.0,4.2,2.0,24.0,13.0,150.0,1.0,1.0,6.2,11.5,54.2,69.79,14.0,5.0,35.7,2.0,1.0,50.0,4.0,3.0,0.0,0.0,4.0,34.0,1.0,0.0,2.0,17.0,5.0,7.0,4.0,160.0,40.0,1.0,3.0,2.0,40.0,0.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,43.0,13.0,2.0,17.0,7.0,0.0,0.0,50.0,14.0,7.0,50.0,3.0,2.0,2.0,Monday,993003932,25,12,18510.0,4.0,1,-2.0,0.091,0.0,15.0,28.3,-13.3,288.6666666666667,362.6666666666667,-2.667,0.276,,62.0,101.0,1.0
202310625.0,2023-10-15T16:05:00,1.0,2023,6,LV,NE,HOME,21.0,17.0,38.0,Allegiant Stadium,3.0,10.0,3.0,5.0,0.0,32.0,34.0,32:12,19.0,6.0,13.0,0.0,64.0,279.0,4.4,2.0,29.0,96.0,3.3,1.0,31.0,22.0,183.0,1.0,1.0,5.9,8.3,71.0,83.13,13.0,5.0,38.5,1.0,1.0,100.0,3.0,2.0,0.0,0.0,4.0,28.0,0.0,0.0,4.0,25.0,2.0,5.0,4.0,189.0,47.2,1.0,3.0,2.0,0.0,3.0,7.0,7.0,0.0,27.0,26.0,27:48,18.0,9.0,7.0,2.0,57.0,285.0,5.0,1.0,25.0,110.0,4.4,1.0,30.0,16.0,175.0,0.0,3.0,5.8,10.9,53.3,31.25,12.0,4.0,33.3,1.0,1.0,100.0,3.0,1.0,0.0,0.0,3.0,18.0,0.0,0.0,2.0,7.0,6.0,8.0,4.0,184.0,46.0,3.0,1.0,-2.0,66.7,0.0,33.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,32.0,28.0,2.0,7.0,4.0,0.0,0.0,41.0,33.0,4.0,25.0,4.0,0.0,0.0,Sunday,993003952,25,21,18357.0,4.0,1,2.0,0.385,0.0,17.3,20.0,-2.7,301.6666666666667,307.6666666666667,-1.0,0.261,0.4,79.0,114.0,2.0
202310706.0,2023-10-22T13:00:00,1.0,2023,7,LV,CHI,AWAY,12.0,30.0,42.0,Soldier Field,0.0,3.0,0.0,9.0,0.0,32.0,12.0,25:54,19.0,4.0,12.0,3.0,65.0,348.0,5.4,1.0,33.0,84.0,2.5,0.0,32.0,20.0,264.0,1.0,1.0,8.2,13.2,62.5,85.94,16.0,8.0,50.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,42.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,103.0,51.5,1.0,1.0,0.0,7.0,7.0,7.0,9.0,0.0,27.0,48.0,34:06,17.0,8.0,7.0,2.0,56.0,259.0,4.6,2.0,19.0,83.0,4.4,2.0,33.0,24.0,176.0,0.0,1.0,5.3,7.3,72.7,72.29,12.0,6.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,79.0,0.0,0.0,4.0,24.0,3.0,2.0,3.0,138.0,46.0,1.0,1.0,0.0,16.7,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,39.0,20.0,4.0,24.0,3.0,0.0,0.0,42.0,22.0,0.0,0.0,5.0,0.0,0.0,Sunday,993003969,25,6,18367.0,-18.0,0,0.0,0.5,0.0,18.3,18.0,0.3,297.0,283.0,0.0,0.325,0.4,100.0,131.0,3.0
202310811.0,2023-10-30T20:15:00,1.0,2023,8,LV,DET,AWAY,14.0,26.0,40.0,Ford Field,0.0,7.0,7.0,0.0,0.0,25.0,54.0,20:27,20.0,1.0,16.0,3.0,60.0,235.0,3.9,1.0,14.0,39.0,2.8,0.0,45.0,27.0,196.0,1.0,3.0,4.4,7.3,60.0,49.86,9.0,2.0,22.2,2.0,2.0,100.0,2.0,1.0,0.0,0.0,2.0,15.0,0.0,0.0,1.0,8.0,3.0,3.0,2.0,82.0,41.0,3.0,0.0,-3.0,3.0,13.0,7.0,3.0,0.0,34.0,6.0,39:33,23.0,13.0,10.0,0.0,69.0,323.0,4.7,4.0,38.0,173.0,4.6,2.0,29.0,21.0,150.0,1.0,0.0,5.2,7.1,72.4,95.47,13.0,8.0,61.5,1.0,0.0,0.0,3.0,3.0,0.0,0.0,9.0,110.0,1.0,0.0,2.0,12.0,3.0,2.0,3.0,120.0,40.0,0.0,3.0,3.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,40.0,35.0,2.0,12.0,3.0,1.0,0.0,35.0,14.0,1.0,8.0,10.0,0.0,0.0,Monday,993004019,25,11,18516.0,-12.0,0,-3.0,0.222,0.0,16.7,20.0,-3.3,287.3333333333333,289.0,-0.333,0.369,0.4,112.0,161.0,3.0
202310925.0,2023-11-05T16:25:00,1.0,2023,9,LV,NYG,HOME,30.0,6.0,36.0,Allegiant Stadium,0.0,0.0,0.0,0.0,30.0,20.0,27.0,28:56,12.0,4.0,6.0,2.0,45.0,157.0,3.5,2.0,18.0,80.0,4.4,1.0,21.0,10.0,77.0,0.0,1.0,3.7,7.7,47.6,37.2,9.0,1.0,11.1,3.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,40.0,2.0,0.0,6.0,49.0,5.0,4.0,5.0,242.0,48.4,1.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,39.0,33.0,31:04,29.0,10.0,17.0,2.0,81.0,486.0,6.0,2.0,43.0,222.0,5.2,1.0,37.0,26.0,264.0,1.0,1.0,7.1,10.2,70.3,88.12,14.0,6.0,42.9,1.0,1.0,100.0,5.0,1.0,0.0,0.0,5.0,55.0,2.0,2.0,1.0,8.0,9.0,7.0,1.0,48.0,48.0,3.0,1.0,-2.0,100.0,0.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,53.0,39.0,1.0,8.0,3.0,2.0,2.0,28.0,13.0,6.0,49.0,3.0,1.0,0.0,Sunday,993004044,25,23,18587.0,24.0,1,2.0,0.111,0.0,15.7,24.3,-8.7,246.66666666666666,356.0,-0.333,0.278,0.4,126.0,187.0,3.0
202311025.0,2023-11-12T20:20:00,1.0,2023,10,LV,NYJ,HOME,16.0,12.0,28.0,Allegiant Stadium,3.0,3.0,3.0,7.0,0.0,28.0,56.0,30:18,15.0,6.0,9.0,0.0,59.0,334.0,5.7,3.0,34.0,125.0,3.7,3.0,25.0,16.0,209.0,0.0,0.0,8.4,13.1,64.0,90.25,14.0,5.0,35.7,1.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,30.0,0.0,0.0,0.0,0.0,9.0,8.0,5.0,318.0,63.6,0.0,2.0,2.0,6.0,3.0,0.0,3.0,0.0,31.0,4.0,29:42,15.0,5.0,10.0,0.0,62.0,277.0,4.5,1.0,25.0,123.0,4.9,0.0,29.0,19.0,154.0,1.0,2.0,5.3,8.1,65.5,61.57,12.0,3.0,25.0,5.0,1.0,20.0,1.0,1.0,0.0,0.0,3.0,8.0,1.0,0.0,8.0,46.0,1.0,5.0,4.0,169.0,42.2,2.0,0.0,-2.0,75.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,24.0,8.0,46.0,5.0,1.0,0.0,37.0,27.0,0.0,0.0,2.0,0.0,0.0,Sunday,993004074,25,24,18381.0,4.0,1,2.0,0.357,0.0,18.7,20.7,-2.0,242.0,362.0,0.333,0.23,0.6,156.0,193.0,4.0
