gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202310110.0,2023-09-10T16:25:00,1,2023,1,DEN,LV,HOME,16.0,17.0,33.0,Empower Field at Mile High,6.0,7.0,0.0,3.0,0.0,,,32:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,0.0,7.0,0.0,,,27:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003798,10,25,,-1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310210.0,2023-09-17T16:25:00,1,2023,2,DEN,WAS,HOME,33.0,35.0,68.0,Empower Field at Mile High,14.0,7.0,3.0,9.0,0.0,32.0,8.0,26:15,22.0,5.0,11.0,6.0,58.0,260.0,4.5,2.0,22.0,94.0,4.3,0.0,34.0,27.0,166.0,2.0,0.0,4.9,6.1,79.4,106.62,11.0,5.0,45.5,0.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,83.0,0.0,0.0,2.0,11.0,3.0,1.0,2.0,80.0,40.0,0.0,1.0,1.0,3.0,11.0,7.0,14.0,0.0,27.0,52.0,33:45,22.0,5.0,11.0,6.0,55.0,261.0,4.7,2.0,29.0,61.0,2.1,0.0,26.0,20.0,200.0,2.0,1.0,7.7,10.0,76.9,107.85,11.0,5.0,45.5,1.0,1.0,100.0,4.0,2.0,0.0,0.0,10.0,97.0,1.0,0.0,0.0,0.0,4.0,7.0,1.0,49.0,49.0,1.0,0.0,-1.0,66.7,0.0,50.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,23.0,0.0,0.0,5.0,0.0,0.0,38.0,25.0,2.0,11.0,1.0,0.0,0.0,Sunday,993003834,10,35,18495.0,-2.0,0,1.0,0.455,0.0,0.0624396781548361,0.4675324675324675,0.1982517102121783,-0.1651930298407519,0.1235794834181586,0.3714285714285714,0.5384111459566732,-0.3361533648896274,16.0,17.0,-1.0,260.0,261.0,1.0,0.455,0.0,16.0,17.0,0.0,0.0624396781548361,0.4675324675324675,0.1982517102121783,-0.1651930298407519,0.1235794834181586,0.3714285714285714,0.5384111459566732,-0.3361533648896274,0.0624396781548361,0.1235794834181586
202310319.0,2023-09-24T13:00:00,1,2023,3,DEN,MIA,AWAY,20.0,70.0,90.0,Hard Rock Stadium,7.0,6.0,0.0,7.0,0.0,26.0,15.0,26:39,21.0,10.0,8.0,3.0,62.0,399.0,6.4,4.0,23.0,122.0,5.3,1.0,32.0,18.0,277.0,3.0,1.0,8.7,15.4,56.2,103.26,12.0,4.0,33.3,2.0,2.0,100.0,4.0,2.0,0.0,0.0,9.0,58.0,1.0,1.0,7.0,31.0,8.0,6.0,3.0,134.0,44.7,2.0,0.0,-2.0,14.0,21.0,14.0,21.0,0.0,33.0,45.0,33:21,26.0,11.0,11.0,4.0,66.0,388.0,5.9,4.0,23.0,122.0,5.3,2.0,39.0,27.0,266.0,2.0,0.0,6.8,9.9,69.2,105.29,10.0,3.0,30.0,1.0,1.0,100.0,3.0,3.0,0.0,0.0,8.0,71.0,2.0,0.0,4.0,33.0,14.0,5.0,3.0,168.0,56.0,0.0,2.0,2.0,50.0,0.0,100.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,41.0,21.0,4.0,33.0,4.0,1.0,0.0,34.0,24.0,7.0,31.0,4.0,1.0,1.0,Sunday,993003853,10,19,18568.0,-50.0,0,-2.0,0.333,0.0,0.1069721275203923,0.4512195121951219,0.1441236073030682,0.1041384105060604,0.1280400341192834,0.4623655913978494,0.2323959994127382,0.1883603283845798,24.5,26.0,-1.5,329.5,324.5,-0.5,0.394,0.0,49.0,52.0,0.0,0.0847059028376142,0.4593759898637947,0.17118765875762326,-0.03052730966734575,0.125809758768721,0.41689708141321036,0.3854035726847057,-0.07389651825252379,0.0847059028376142,0.125809758768721
202310406.0,2023-10-01T13:00:00,1,2023,4,DEN,CHI,AWAY,31.0,28.0,59.0,Soldier Field,7.0,0.0,7.0,17.0,0.0,26.0,39.0,26:11,16.0,2.0,13.0,1.0,59.0,363.0,6.2,2.0,20.0,69.0,3.4,0.0,38.0,23.0,294.0,1.0,1.0,7.7,12.8,60.5,82.57,12.0,3.0,25.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,7.0,46.0,2.0,2.0,1.0,12.0,1.0,6.0,5.0,234.0,46.8,3.0,0.0,-3.0,0.0,21.0,7.0,0.0,0.0,33.0,21.0,33:49,30.0,12.0,16.0,2.0,71.0,726.0,10.2,10.0,43.0,350.0,8.1,5.0,28.0,25.0,376.0,5.0,0.0,13.4,15.0,89.3,158.33,9.0,5.0,55.6,3.0,1.0,33.3,6.0,6.0,0.0,0.0,6.0,55.0,0.0,0.0,0.0,0.0,13.0,4.0,1.0,48.0,48.0,0.0,3.0,3.0,25.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,31.0,0.0,0.0,0.0,0.0,0.0,32.0,23.0,1.0,12.0,8.0,3.0,2.0,Sunday,993003881,10,6,18458.0,3.0,1,-3.0,0.25,0.0,-0.1383328698897964,0.3493975903614458,-0.2593017848633116,-0.2999807284213602,0.4726413724542748,0.6021505376344086,1.0409971923940686,0.3315405321576861,23.0,40.7,-17.7,340.6666666666667,458.3333333333333,-1.333,0.346,0.0,69.0,122.0,0.0,0.010359645261810666,0.42271652336301174,0.027691177550644947,-0.12034511591868391,0.24142029666390563,0.47864823348694313,0.6039347792544933,0.06124916521754617,0.010359645261810666,0.24142029666390563
202310510.0,2023-10-08T16:25:00,1,2023,5,DEN,NYJ,HOME,21.0,31.0,52.0,Empower Field at Mile High,7.0,6.0,0.0,8.0,0.0,26.0,11.0,25:24,17.0,6.0,9.0,2.0,48.0,311.0,6.5,4.0,19.0,97.0,5.1,0.0,28.0,21.0,214.0,3.0,0.0,7.6,10.2,75.0,132.14,11.0,6.0,54.5,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,39.0,1.0,0.0,1.0,9.0,10.0,3.0,4.0,163.0,40.8,0.0,2.0,2.0,5.0,3.0,10.0,13.0,0.0,33.0,49.0,34:36,26.0,7.0,17.0,2.0,70.0,471.0,6.7,4.0,31.0,171.0,5.5,0.0,35.0,28.0,300.0,4.0,1.0,8.6,10.7,80.0,128.57,12.0,6.0,50.0,3.0,1.0,33.3,3.0,2.0,0.0,0.0,10.0,91.0,1.0,1.0,4.0,35.0,5.0,4.0,2.0,90.0,45.0,2.0,0.0,-2.0,100.0,0.0,66.7,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,28.0,4.0,35.0,4.0,1.0,1.0,37.0,12.0,1.0,9.0,1.0,0.0,0.0,Sunday,993003928,10,24,18502.0,-10.0,0,2.0,0.545,0.0,0.1725853695282543,0.4477611940298507,0.4781865941033767,0.0991857291483029,0.0602590087782053,0.4444444444444444,0.2452166922848003,-0.0727674489046029,28.0,44.3,-16.3,357.6666666666667,528.3333333333334,-1.0,0.376,0.25,100.0,150.0,1.0,0.047074875719616736,0.4161260988621395,0.12100280551437775,-0.03221886292233229,0.22031347178392116,0.5029868578255675,0.5062032946972024,0.14904447054588768,0.05091607632842157,0.19612997469248053
202310616.0,2023-10-12T20:15:00,1,2023,6,DEN,KC,AWAY,8.0,19.0,27.0,Arrowhead Stadium,0.0,0.0,0.0,8.0,0.0,25.0,24.0,24:11,18.0,5.0,10.0,3.0,57.0,308.0,5.4,2.0,22.0,139.0,6.3,0.0,31.0,20.0,169.0,2.0,0.0,5.5,8.4,64.5,100.07,10.0,4.0,40.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,31.0,4.0,3.0,4.0,27.0,5.0,4.0,4.0,181.0,45.2,3.0,2.0,-1.0,3.0,10.0,3.0,3.0,0.0,34.0,36.0,35:49,18.0,8.0,10.0,0.0,62.0,407.0,6.6,2.0,32.0,234.0,7.3,1.0,26.0,19.0,173.0,0.0,1.0,6.7,9.1,73.1,74.68,12.0,3.0,25.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,71.0,4.0,1.0,4.0,26.0,7.0,7.0,3.0,156.0,52.0,2.0,3.0,1.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,46.0,23.0,4.0,26.0,2.0,3.0,1.0,35.0,22.0,4.0,27.0,4.0,2.0,3.0,Thursday,993003933,10,16,18355.0,-11.0,0,-1.0,0.4,0.0,-0.0947860983349447,0.3875,-0.1503990750920303,-0.3613532512168544,0.0794316096937583,0.4761904761904761,-0.2148502548486165,0.1977395257505122,24.0,43.0,-19.0,327.3333333333333,534.6666666666666,-0.667,0.398,0.2,121.0,181.0,1.0,-0.020177866232162275,0.39488626146376554,0.022828578049344923,-0.18738275016330389,0.2041106636420795,0.5075951527564431,0.3571212099434175,0.1521708696678651,0.021775641395748318,0.17279030169273607
202310710.0,2023-10-22T16:25:00,1,2023,7,DEN,GB,HOME,19.0,17.0,36.0,Empower Field at Mile High,3.0,6.0,7.0,3.0,0.0,24.0,11.0,28:23,14.0,8.0,4.0,2.0,49.0,197.0,4.0,1.0,23.0,115.0,5.0,0.0,22.0,13.0,82.0,1.0,2.0,3.7,6.3,59.1,44.13,10.0,4.0,40.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,34.0,1.0,1.0,4.0,13.0,5.0,7.0,5.0,224.0,44.8,3.0,1.0,-2.0,0.0,0.0,10.0,7.0,0.0,35.0,49.0,31:37,22.0,6.0,14.0,2.0,70.0,389.0,5.6,1.0,27.0,96.0,3.6,0.0,41.0,30.0,293.0,1.0,1.0,7.1,9.8,73.2,90.8,13.0,4.0,30.8,1.0,0.0,0.0,5.0,1.0,0.0,0.0,7.0,84.0,2.0,0.0,2.0,13.0,7.0,5.0,3.0,144.0,48.0,1.0,3.0,2.0,100.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,52.0,15.0,2.0,13.0,5.0,1.0,0.0,36.0,11.0,4.0,13.0,9.0,1.0,1.0,Sunday,993003984,10,12,18358.0,2.0,1,-2.0,0.4,0.0,-0.2050994745475217,0.40625,-0.5142513917901765,0.1288411908227329,-0.0114963173160583,0.5,0.1685973354311238,-0.4661258422725256,20.0,26.0,-6.0,272.0,422.3333333333333,-0.333,0.448,0.2,129.0,200.0,1.0,-0.0424334011180707,0.4138370646766169,-0.06215462425961005,-0.04444211041527286,0.042731433718635116,0.4735449735449735,0.06632125762243586,-0.11371792180887212,-0.03173218914472324,0.14577514154589272
202310810.0,2023-10-29T16:25:00,1,2023,8,DEN,KC,HOME,24.0,9.0,33.0,Empower Field at Mile High,7.0,7.0,0.0,10.0,0.0,28.0,23.0,33:47,18.0,6.0,9.0,3.0,55.0,339.0,6.2,1.0,25.0,145.0,5.8,0.0,29.0,20.0,194.0,1.0,0.0,6.7,9.7,69.0,98.92,12.0,5.0,41.7,1.0,0.0,0.0,4.0,1.0,0.0,0.0,8.0,60.0,0.0,0.0,1.0,0.0,3.0,4.0,3.0,132.0,44.0,0.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,31.0,37.0,26:13,20.0,5.0,13.0,2.0,61.0,331.0,5.4,2.0,29.0,137.0,4.7,0.0,32.0,22.0,194.0,2.0,1.0,6.1,8.8,68.8,92.45,14.0,6.0,42.9,2.0,2.0,100.0,3.0,2.0,0.0,0.0,7.0,56.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,155.0,51.7,1.0,0.0,-1.0,25.0,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,27.0,0.0,0.0,5.0,0.0,0.0,38.0,18.0,1.0,0.0,0.0,0.0,0.0,Sunday,993004016,10,16,18524.0,15.0,1,1.0,0.417,0.0,0.0892499574574635,0.4133333333333333,0.2255246699732799,-0.0784614151483401,0.0719933627201461,0.4320987654320987,0.338623372389601,-0.0787882936941781,16.0,22.3,-6.3,281.3333333333333,375.6666666666667,-0.667,0.406,0.4,148.0,217.0,2.0,-0.07021187180833431,0.4023611111111111,-0.14637526563630898,-0.10365782518082052,0.04664288503261538,0.4694297472075249,0.09745681765736942,-0.11572487007206385,-0.035276623157309006,0.13456580726606523
202311004.0,2023-11-13T20:15:00,1,2023,10,DEN,BUF,AWAY,24.0,22.0,46.0,Highmark Stadium,3.0,12.0,0.0,9.0,0.0,33.0,47.0,37:21,19.0,10.0,7.0,2.0,65.0,240.0,3.7,3.0,40.0,153.0,3.8,0.0,19.0,12.0,87.0,3.0,0.0,4.6,7.2,63.2,113.38,14.0,6.0,42.9,1.0,0.0,0.0,5.0,3.0,0.0,0.0,6.0,35.0,2.0,1.0,6.0,27.0,11.0,6.0,4.0,166.0,41.5,1.0,5.0,4.0,0.0,8.0,7.0,7.0,0.0,26.0,13.0,22:39,18.0,3.0,12.0,3.0,57.0,274.0,4.8,0.0,16.0,62.0,3.9,0.0,38.0,24.0,212.0,0.0,2.0,5.6,8.8,63.2,56.03,10.0,3.0,30.0,3.0,1.0,33.3,3.0,0.0,0.0,0.0,5.0,38.0,3.0,3.0,3.0,28.0,10.0,7.0,2.0,82.0,41.0,5.0,1.0,-4.0,60.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,37.0,10.0,3.0,28.0,6.0,2.0,3.0,49.0,25.0,6.0,27.0,2.0,2.0,1.0,Monday,993004075,10,4,18583.0,2.0,1,4.0,0.429,0.0,-0.0153105958182988,0.4418604651162791,-0.0833661365299414,-0.0065099275529359,-0.2372665345089994,0.3943661971830985,-0.2732508231528123,-0.2477884698054578,17.0,15.0,2.0,258.6666666666667,331.3333333333333,1.0,0.415,0.6,172.0,226.0,3.0,-0.043720037636119,0.42048126614987075,-0.12403095278227934,0.014623282707152312,-0.058923163034970506,0.44215498753839905,0.07798996155597084,-0.26423420192405384,-0.010672168343009481,-0.007415774126589591
202311110.0,2023-11-19T20:20:00,1,2023,11,DEN,MIN,HOME,21.0,20.0,41.0,Empower Field at Mile High,3.0,6.0,0.0,12.0,0.0,37.0,21.0,25:02,19.0,5.0,12.0,2.0,71.0,300.0,4.2,2.0,38.0,122.0,3.2,0.0,29.0,24.0,178.0,2.0,0.0,6.1,7.4,82.8,115.23,19.0,8.0,42.1,1.0,1.0,100.0,3.0,2.0,0.0,0.0,10.0,61.0,1.0,1.0,4.0,15.0,3.0,1.0,5.0,242.0,48.4,1.0,4.0,3.0,0.0,10.0,7.0,3.0,0.0,22.0,39.0,34:58,18.0,12.0,6.0,0.0,52.0,369.0,7.1,3.0,26.0,192.0,7.4,2.0,26.0,15.0,177.0,1.0,2.0,6.8,11.8,57.7,59.29,8.0,3.0,37.5,1.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,63.0,3.0,2.0,0.0,0.0,8.0,3.0,3.0,134.0,44.7,4.0,1.0,-3.0,66.7,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,25.0,30.0,0.0,0.0,4.0,2.0,2.0,54.0,29.0,4.0,15.0,0.0,1.0,1.0,Sunday,993004102,10,20,18397.0,1.0,1,3.0,0.421,0.0,-0.0303268139312876,0.3673469387755102,0.1129795030181719,-0.1488427677575499,-0.1210409889866642,0.4545454545454545,-0.2800180456537819,0.1452085564332083,22.3,16.0,6.3,293.0,324.6666666666667,2.667,0.422,0.6,196.0,248.0,4.0,0.014537515902625702,0.4075135790750409,0.0850460121538368,-0.07793803681960862,-0.09543805359183914,0.42700347238688385,-0.0715484988056644,-0.060456069022142546,-0.051254605034917855,-0.04367577367956349
