gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202310128,2023-09-10T13:00:00,,2023,1,PIT,SF,HOME,7,30,37,Acrisure Stadium,,,,,,,,22:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003784,28,31,,-23,0,,,,,,,,,,,,,,
202310228,2023-09-18T20:15:00,1.0,2023,2,PIT,CLE,HOME,26,22,48,Acrisure Stadium,0.0,7.0,0.0,0.0,0.0,22.0,37.0,24:32,15.0,3.0,9.0,3.0,61.0,239.0,3.9,1.0,10.0,41.0,4.1,0.0,46.0,31.0,198.0,1.0,2.0,4.3,6.4,67.4,65.31,15.0,5.0,33.3,3.0,1.0,33.3,2.0,1.0,0.0,0.0,6.0,60.0,0.0,0.0,5.0,34.0,7.0,5.0,6.0,254.0,42.3,2.0,1.0,-1.0,10.0,10.0,7.0,3.0,0.0,37.0,23.0,35:28,22.0,8.0,13.0,1.0,66.0,391.0,5.9,3.0,34.0,188.0,5.5,1.0,29.0,19.0,203.0,2.0,0.0,7.0,10.7,65.5,108.84,13.0,6.0,46.2,1.0,1.0,100.0,3.0,2.0,0.0,0.0,11.0,85.0,3.0,1.0,3.0,17.0,9.0,8.0,3.0,134.0,44.7,1.0,2.0,1.0,50.0,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,45.0,24.0,3.0,17.0,5.0,3.0,1.0,39.0,17.0,5.0,34.0,4.0,0.0,0.0,Monday,993003840,28,8,18491.0,4,1,-1.0,0.333,0.0,,,,,,,,,7.0,30.0,0.0
202310325,2023-09-24T20:20:00,1.0,2023,3,PIT,LV,AWAY,23,18,41,Allegiant Stadium,7.0,9.0,3.0,7.0,0.0,24.0,32.0,30:03,9.0,3.0,6.0,0.0,53.0,255.0,4.8,3.0,21.0,55.0,2.6,0.0,30.0,15.0,200.0,1.0,1.0,6.7,13.3,50.0,68.75,14.0,4.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,31.0,1.0,1.0,2.0,22.0,11.0,9.0,7.0,320.0,45.7,2.0,4.0,2.0,3.0,11.0,8.0,0.0,0.0,35.0,28.0,29:57,20.0,7.0,12.0,1.0,81.0,408.0,5.0,2.0,35.0,198.0,5.7,1.0,40.0,22.0,210.0,1.0,1.0,5.2,9.5,55.0,67.71,16.0,5.0,31.2,2.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,81.0,4.0,3.0,6.0,25.0,9.0,5.0,5.0,238.0,47.6,4.0,2.0,-2.0,0.0,0.0,66.7,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,58.0,23.0,6.0,25.0,8.0,4.0,3.0,31.0,14.0,2.0,22.0,7.0,1.0,1.0,Sunday,993003867,28,25,18571.0,5,1,2.0,0.286,0.0,,,,,,,,,33.0,52.0,1.0
202310413,2023-10-01T13:00:00,1.0,2023,4,PIT,HOU,AWAY,6,30,36,NRG Stadium,7.0,6.0,10.0,0.0,0.0,30.0,3.0,27:25,17.0,5.0,10.0,2.0,60.0,333.0,5.6,2.0,31.0,105.0,3.4,0.0,28.0,16.0,228.0,2.0,0.0,8.1,14.2,57.1,107.44,15.0,6.0,40.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,45.0,0.0,0.0,1.0,7.0,8.0,5.0,6.0,323.0,53.8,0.0,3.0,3.0,7.0,0.0,0.0,11.0,0.0,29.0,57.0,32:35,19.0,4.0,12.0,3.0,67.0,362.0,5.4,2.0,19.0,69.0,3.6,0.0,44.0,28.0,293.0,2.0,3.0,6.7,10.5,63.6,69.6,13.0,4.0,30.8,2.0,1.0,50.0,2.0,1.0,0.0,0.0,7.0,60.0,1.0,0.0,4.0,31.0,5.0,5.0,5.0,262.0,52.4,3.0,0.0,-3.0,100.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,41.0,16.0,4.0,31.0,6.0,0.0,0.0,37.0,24.0,1.0,7.0,3.0,0.0,0.0,Sunday,993003891,28,13,18467.0,-24,0,3.0,0.4,0.0,18.7,23.3,-4.7,275.6666666666667,387.0,1.333,0.34,,56.0,70.0,2.0
202310528,2023-10-08T13:00:00,1.0,2023,5,PIT,BAL,HOME,17,10,27,Acrisure Stadium,0.0,0.0,6.0,0.0,0.0,27.0,25.0,29:46,12.0,7.0,4.0,1.0,56.0,225.0,4.0,0.0,25.0,114.0,4.6,0.0,28.0,18.0,111.0,0.0,1.0,4.0,6.2,64.3,57.29,14.0,6.0,42.9,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18.0,2.0,0.0,3.0,21.0,6.0,3.0,5.0,238.0,47.6,1.0,0.0,-1.0,10.0,6.0,0.0,14.0,0.0,32.0,35.0,30:14,24.0,9.0,14.0,1.0,69.0,451.0,6.5,3.0,38.0,139.0,3.7,0.0,31.0,17.0,312.0,3.0,0.0,10.1,18.4,54.8,121.98,12.0,6.0,50.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,63.0,2.0,0.0,0.0,0.0,6.0,7.0,3.0,114.0,38.0,0.0,1.0,1.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,40.0,31.0,0.0,0.0,4.0,1.0,0.0,36.0,27.0,3.0,21.0,5.0,2.0,0.0,Sunday,993003920,28,3,18509.0,7,1,-1.0,0.429,0.0,18.3,23.3,-5.0,271.0,407.0,1.333,0.371,,62.0,100.0,2.0
202310732,2023-10-22T16:05:00,1.0,2023,7,PIT,LAR,AWAY,24,17,41,SoFi Stadium,0.0,3.0,0.0,14.0,0.0,29.0,46.0,28:14,17.0,6.0,11.0,0.0,65.0,289.0,4.4,1.0,30.0,87.0,2.9,0.0,32.0,18.0,202.0,1.0,0.0,6.3,11.2,56.2,85.68,15.0,6.0,40.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,30.0,1.0,1.0,3.0,22.0,6.0,6.0,6.0,257.0,42.8,1.0,3.0,2.0,7.0,3.0,0.0,0.0,0.0,30.0,14.0,31:46,19.0,7.0,11.0,1.0,67.0,335.0,5.0,1.0,25.0,125.0,5.0,1.0,38.0,22.0,210.0,0.0,1.0,5.5,9.5,57.9,62.39,14.0,5.0,35.7,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,20.0,4.0,2.0,4.0,26.0,4.0,5.0,4.0,154.0,38.5,3.0,1.0,-2.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,43.0,18.0,4.0,26.0,6.0,3.0,2.0,37.0,27.0,3.0,22.0,5.0,1.0,1.0,Sunday,993003977,28,32,18352.0,7,1,2.0,0.4,0.0,15.3,19.3,-4.0,282.3333333333333,382.6666666666667,1.333,0.41,0.6,79.0,110.0,3.0
202310828,2023-10-29T13:00:00,1.0,2023,8,PIT,JAX,HOME,10,20,30,Acrisure Stadium,0.0,3.0,7.0,14.0,0.0,28.0,14.0,25:44,17.0,8.0,9.0,0.0,56.0,300.0,5.4,3.0,29.0,86.0,3.0,3.0,25.0,17.0,214.0,0.0,0.0,8.6,12.6,68.0,94.42,12.0,4.0,33.3,1.0,1.0,100.0,3.0,3.0,0.0,0.0,8.0,76.0,1.0,0.0,2.0,16.0,4.0,4.0,5.0,218.0,43.6,0.0,1.0,1.0,0.0,9.0,8.0,0.0,0.0,31.0,46.0,34:16,19.0,8.0,8.0,3.0,62.0,354.0,5.7,2.0,31.0,135.0,4.4,1.0,29.0,14.0,219.0,1.0,1.0,7.6,15.6,48.3,70.91,16.0,9.0,56.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,40.0,0.0,0.0,2.0,12.0,7.0,4.0,4.0,208.0,52.0,1.0,0.0,-1.0,100.0,0.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,36.0,25.0,2.0,12.0,2.0,0.0,0.0,32.0,26.0,2.0,16.0,2.0,1.0,0.0,Sunday,993004004,28,15,18522.0,-10,0,1.0,0.333,0.0,15.7,19.0,-3.3,271.3333333333333,380.0,0.667,0.387,0.8,103.0,127.0,4.0
202310928,2023-11-02T20:15:00,1.0,2023,9,PIT,TEN,HOME,20,16,36,Acrisure Stadium,0.0,3.0,7.0,0.0,0.0,25.0,44.0,28:51,17.0,4.0,12.0,1.0,64.0,261.0,4.1,1.0,18.0,70.0,3.9,0.0,43.0,25.0,191.0,1.0,2.0,4.4,7.6,58.1,57.41,12.0,3.0,25.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,52.0,2.0,0.0,3.0,20.0,6.0,5.0,6.0,257.0,42.8,2.0,3.0,1.0,6.0,3.0,8.0,3.0,0.0,34.0,16.0,31:09,20.0,6.0,11.0,3.0,65.0,377.0,5.8,1.0,30.0,106.0,3.5,0.0,32.0,24.0,271.0,1.0,1.0,8.5,11.3,75.0,97.27,13.0,6.0,46.2,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,72.0,2.0,2.0,3.0,21.0,9.0,4.0,3.0,131.0,43.7,3.0,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,53.0,17.0,3.0,21.0,2.0,2.0,2.0,39.0,14.0,3.0,20.0,7.0,1.0,0.0,Thursday,993004022,28,34,18579.0,4,1,1.0,0.25,0.0,17.0,15.7,1.3,283.3333333333333,355.3333333333333,1.333,0.328,0.6,113.0,147.0,4.0
202311028,2023-11-12T13:00:00,1.0,2023,10,PIT,GB,HOME,23,19,42,Acrisure Stadium,7.0,3.0,3.0,7.0,0.0,28.0,51.0,30:33,22.0,10.0,9.0,3.0,60.0,326.0,5.4,2.0,30.0,166.0,5.5,1.0,30.0,19.0,160.0,1.0,0.0,5.3,8.4,63.3,88.19,12.0,6.0,50.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,10.0,80.0,0.0,0.0,0.0,0.0,10.0,6.0,4.0,200.0,50.0,0.0,1.0,1.0,3.0,10.0,3.0,0.0,0.0,31.0,9.0,29:27,23.0,5.0,12.0,6.0,68.0,340.0,5.0,1.0,25.0,105.0,4.2,1.0,39.0,22.0,235.0,0.0,1.0,6.0,10.7,56.4,63.51,13.0,3.0,23.1,2.0,1.0,50.0,4.0,1.0,0.0,0.0,7.0,51.0,0.0,0.0,4.0,27.0,2.0,4.0,3.0,171.0,57.0,1.0,0.0,-1.0,50.0,0.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,37.0,24.0,4.0,27.0,6.0,0.0,0.0,35.0,29.0,0.0,0.0,3.0,0.0,0.0,Sunday,993004058,28,12,18372.0,4,1,1.0,0.5,0.0,18.0,17.7,0.3,295.6666666666667,357.0,1.0,0.361,0.6,133.0,163.0,5.0
202311108,2023-11-19T13:00:00,1.0,2023,11,PIT,CLE,AWAY,10,13,23,Cleveland Browns Stadium,7.0,10.0,3.0,3.0,0.0,30.0,33.0,28:33,21.0,12.0,6.0,3.0,60.0,324.0,5.4,2.0,36.0,205.0,5.7,2.0,23.0,14.0,119.0,0.0,0.0,5.2,8.5,60.9,74.37,13.0,4.0,30.8,1.0,1.0,100.0,3.0,2.0,0.0,0.0,3.0,27.0,1.0,0.0,1.0,7.0,5.0,5.0,5.0,224.0,44.8,0.0,2.0,2.0,7.0,6.0,6.0,0.0,0.0,29.0,27.0,31:27,17.0,3.0,13.0,1.0,65.0,399.0,6.1,2.0,24.0,116.0,4.8,0.0,40.0,21.0,283.0,2.0,2.0,7.1,13.5,52.5,71.15,16.0,8.0,50.0,2.0,2.0,100.0,5.0,1.0,0.0,0.0,5.0,32.0,2.0,0.0,1.0,6.0,4.0,2.0,4.0,179.0,44.8,2.0,0.0,-2.0,66.7,0.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,19.0,1.0,6.0,7.0,0.0,0.0,45.0,27.0,1.0,7.0,5.0,0.0,0.0,Sunday,993004087,28,8,18388.0,-3,0,2.0,0.308,0.0,17.7,18.3,-0.7,303.6666666666667,372.0,1.333,0.353,0.8,156.0,182.0,6.0
