gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202210130,2022-09-12T20:15:00,,2022,1,DEN,SEA,AWAY,16,17,33,Lumen Field,,,,,,,,33:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,993003139,10,30,,-1,0,,,,,,,,,,,,,,
202210210,2022-09-18T16:25:00,1.0,2022,2,DEN,HOU,HOME,16,9,25,Empower Field at Mile High,3.0,10.0,0.0,3.0,0.0,33.0,39.0,32:33,20.0,5.0,13.0,2.0,64.0,433.0,6.8,1.0,20.0,103.0,5.2,0.0,42.0,29.0,330.0,1.0,0.0,7.9,11.4,69.0,100.3,15.0,8.0,53.3,1.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,106.0,2.0,2.0,2.0,10.0,4.0,3.0,1.0,36.0,36.0,2.0,1.0,-1.0,7.0,10.0,0.0,0.0,0.0,26.0,21.0,27:27,19.0,3.0,9.0,7.0,49.0,253.0,5.2,2.0,19.0,76.0,4.0,0.0,28.0,23.0,177.0,2.0,0.0,6.3,7.7,82.1,116.82,11.0,6.0,54.5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,77.0,3.0,1.0,2.0,18.0,8.0,6.0,2.0,101.0,50.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,23.0,2.0,18.0,2.0,3.0,1.0,45.0,18.0,2.0,10.0,4.0,2.0,2.0,Sunday,993003166,10,13,18021.0,7,1,-1.0,0.533,0.0,,,,,,,,,16.0,17.0,0.0
202210310,2022-09-25T20:20:00,1.0,2022,3,DEN,SF,HOME,11,10,21,Empower Field at Mile High,3.0,3.0,0.0,10.0,0.0,32.0,33.0,34:29,20.0,5.0,11.0,4.0,65.0,350.0,5.4,1.0,31.0,149.0,4.8,0.0,31.0,14.0,201.0,1.0,1.0,6.5,14.4,45.2,64.05,12.0,3.0,25.0,1.0,1.0,100.0,2.0,0.0,0.0,0.0,13.0,100.0,0.0,0.0,3.0,18.0,6.0,4.0,5.0,214.0,42.8,1.0,0.0,-1.0,3.0,3.0,3.0,0.0,0.0,27.0,27.0,25:31,15.0,7.0,6.0,2.0,59.0,234.0,4.0,0.0,18.0,80.0,4.4,0.0,38.0,19.0,154.0,0.0,0.0,4.1,8.1,50.0,60.64,13.0,2.0,15.4,3.0,1.0,33.3,1.0,0.0,0.0,0.0,8.0,94.0,2.0,0.0,3.0,23.0,7.0,5.0,5.0,268.0,53.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,33.0,16.0,3.0,23.0,4.0,2.0,0.0,40.0,19.0,3.0,18.0,6.0,0.0,0.0,Sunday,993003202,10,31,18029.0,1,1,-1.0,0.25,0.0,,,,,,,,,32.0,26.0,1.0
202210425,2022-10-02T16:25:00,1.0,2022,4,DEN,LV,AWAY,23,32,55,Allegiant Stadium,0.0,3.0,2.0,6.0,0.0,34.0,29.0,25:08,14.0,5.0,8.0,1.0,70.0,261.0,3.7,1.0,33.0,101.0,3.1,1.0,33.0,20.0,160.0,0.0,0.0,4.8,8.0,60.6,72.79,19.0,6.0,31.6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,30.0,2.0,0.0,4.0,24.0,6.0,5.0,10.0,476.0,47.6,0.0,3.0,3.0,7.0,0.0,0.0,3.0,0.0,25.0,31.0,34:52,13.0,3.0,9.0,1.0,52.0,267.0,5.1,1.0,19.0,88.0,4.6,0.0,29.0,18.0,179.0,1.0,1.0,6.2,9.9,62.1,76.65,10.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,40.0,3.0,2.0,4.0,32.0,9.0,7.0,7.0,362.0,51.7,3.0,0.0,-3.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,23.0,4.0,32.0,6.0,1.0,2.0,41.0,34.0,4.0,24.0,5.0,2.0,0.0,Sunday,993003231,10,25,18061.0,-9,0,3.0,0.316,0.0,14.3,12.0,2.3,348.0,251.33333333333334,0.333,0.366,,43.0,36.0,2.0
202210510,2022-10-06T20:15:00,1.0,2022,5,DEN,IND,HOME,9,12,21,Empower Field at Mile High,7.0,9.0,0.0,7.0,0.0,25.0,8.0,32:51,12.0,5.0,7.0,0.0,48.0,299.0,6.2,3.0,20.0,85.0,4.2,1.0,25.0,17.0,214.0,2.0,0.0,8.6,12.6,68.0,121.08,11.0,3.0,27.3,2.0,1.0,50.0,3.0,2.0,0.0,0.0,7.0,50.0,1.0,1.0,3.0,23.0,5.0,7.0,5.0,241.0,48.2,1.0,0.0,-1.0,3.0,16.0,3.0,10.0,0.0,34.0,52.0,34:36,25.0,14.0,11.0,0.0,74.0,385.0,5.2,3.0,38.0,212.0,5.6,2.0,34.0,21.0,173.0,0.0,0.0,5.1,8.2,61.8,74.75,14.0,7.0,50.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,25.0,0.0,0.0,2.0,15.0,4.0,7.0,4.0,215.0,53.8,0.0,1.0,1.0,66.7,0.0,40.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,48.0,23.0,2.0,15.0,4.0,0.0,0.0,27.0,19.0,3.0,23.0,1.0,1.0,1.0,Thursday,993003238,10,14,18273.0,-3,0,-1.0,0.273,0.0,16.7,17.0,-0.3,303.3333333333333,295.3333333333333,0.333,0.28,,66.0,68.0,2.0
202210629,2022-10-17T20:15:00,1.0,2022,6,DEN,LAC,AWAY,16,19,35,SoFi Stadium,3.0,3.0,3.0,0.0,0.0,32.0,51.0,28:33,18.0,6.0,11.0,1.0,71.0,375.0,5.3,0.0,28.0,125.0,4.5,0.0,39.0,21.0,250.0,0.0,2.0,6.4,11.9,53.8,52.3,15.0,2.0,13.3,2.0,1.0,50.0,4.0,0.0,0.0,0.0,7.0,49.0,2.0,0.0,4.0,24.0,12.0,7.0,5.0,229.0,45.8,2.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0,34.0,36.0,38:49,19.0,4.0,14.0,1.0,73.0,306.0,4.2,0.0,26.0,106.0,4.1,0.0,41.0,26.0,200.0,0.0,2.0,4.9,7.7,63.4,54.93,16.0,4.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,64.0,4.0,0.0,6.0,51.0,8.0,4.0,7.0,310.0,44.3,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,38.0,40.0,6.0,51.0,5.0,3.0,0.0,40.0,25.0,4.0,24.0,7.0,2.0,1.0,Monday,993003295,10,29,18164.0,-3,0,0.0,0.133,0.0,14.3,18.0,-3.7,311.6666666666667,319.3333333333333,0.667,0.241,0.4,75.0,80.0,2.0
202210710,2022-10-23T16:05:00,1.0,2022,7,DEN,NYJ,HOME,9,16,25,Empower Field at Mile High,10.0,3.0,0.0,3.0,0.0,28.0,33.0,32:23,13.0,3.0,8.0,2.0,55.0,258.0,4.7,1.0,23.0,98.0,4.3,0.0,28.0,15.0,160.0,1.0,0.0,5.7,10.7,53.6,82.44,14.0,4.0,28.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,151.0,3.0,1.0,4.0,28.0,8.0,6.0,7.0,323.0,46.1,1.0,1.0,0.0,0.0,10.0,3.0,3.0,3.0,38.0,49.0,27:37,24.0,7.0,10.0,7.0,83.0,297.0,3.6,1.0,24.0,73.0,3.0,1.0,57.0,37.0,224.0,0.0,1.0,3.9,6.1,64.9,65.24,22.0,11.0,50.0,3.0,1.0,33.3,4.0,1.0,0.0,0.0,9.0,89.0,0.0,0.0,2.0,14.0,6.0,7.0,4.0,176.0,44.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,57.0,22.0,2.0,14.0,9.0,0.0,0.0,37.0,16.0,4.0,28.0,3.0,1.0,1.0,Sunday,993003314,10,24,18192.0,-7,0,0.0,0.286,0.0,16.0,21.0,-5.0,310.6666666666667,329.3333333333333,-0.333,0.231,0.4,91.0,99.0,2.0
202210815,2022-10-30T09:30:00,1.0,2022,8,DEN,JAX,AWAY,21,17,38,Wembley Stadium,6.0,3.0,0.0,0.0,0.0,32.0,23.0,25:56,21.0,7.0,10.0,4.0,75.0,324.0,4.3,1.0,28.0,105.0,3.8,1.0,46.0,24.0,219.0,0.0,1.0,4.8,9.1,52.2,56.34,16.0,5.0,31.2,3.0,1.0,33.3,2.0,1.0,0.0,0.0,4.0,34.0,1.0,0.0,1.0,6.0,5.0,2.0,6.0,240.0,40.0,1.0,0.0,-1.0,7.0,3.0,0.0,6.0,0.0,27.0,37.0,34:04,10.0,4.0,5.0,1.0,53.0,260.0,4.9,1.0,24.0,155.0,6.5,1.0,26.0,16.0,105.0,0.0,0.0,4.0,6.6,61.5,70.19,14.0,3.0,21.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,85.0,0.0,0.0,3.0,16.0,7.0,1.0,8.0,438.0,54.8,0.0,1.0,1.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,31.0,24.0,3.0,16.0,1.0,0.0,0.0,42.0,21.0,1.0,6.0,9.0,0.0,0.0,Sunday,993003327,10,15,18043.0,4,1,-1.0,0.312,0.0,11.3,15.7,-4.3,319.0,287.6666666666667,-0.333,0.244,0.2,100.0,115.0,2.0
202211034,2022-11-13T13:00:00,1.0,2022,10,DEN,TEN,AWAY,10,17,27,Nissan Stadium,0.0,7.0,7.0,7.0,0.0,25.0,56.0,33:57,18.0,7.0,11.0,0.0,61.0,331.0,5.4,3.0,28.0,101.0,3.6,2.0,30.0,18.0,230.0,1.0,1.0,7.7,12.8,60.0,81.25,11.0,2.0,18.2,3.0,2.0,66.7,3.0,3.0,0.0,0.0,12.0,80.0,0.0,0.0,3.0,22.0,2.0,6.0,6.0,306.0,51.0,1.0,2.0,1.0,7.0,3.0,0.0,7.0,0.0,34.0,4.0,26:03,24.0,12.0,6.0,6.0,65.0,305.0,4.7,2.0,32.0,191.0,6.0,1.0,31.0,18.0,114.0,1.0,2.0,3.7,6.3,58.1,49.66,11.0,4.0,36.4,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,54.0,2.0,0.0,2.0,19.0,8.0,2.0,6.0,287.0,47.8,2.0,1.0,-1.0,100.0,0.0,33.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,44.0,23.0,2.0,19.0,3.0,1.0,0.0,37.0,28.0,3.0,22.0,5.0,0.0,0.0,Sunday,993003397,10,34,17998.0,-7,0,1.0,0.182,0.0,15.3,17.3,-2.0,304.3333333333333,287.3333333333333,0.0,0.26,0.2,121.0,132.0,3.0
202211110,2022-11-20T16:05:00,1.0,2022,11,DEN,LV,HOME,16,22,38,Empower Field at Mile High,0.0,10.0,0.0,0.0,0.0,33.0,57.0,28:57,18.0,5.0,10.0,3.0,73.0,313.0,4.3,1.0,25.0,65.0,2.6,0.0,42.0,21.0,248.0,1.0,1.0,5.9,11.8,50.0,66.37,17.0,4.0,23.5,3.0,2.0,66.7,0.0,0.0,0.0,0.0,8.0,50.0,3.0,0.0,6.0,38.0,4.0,2.0,9.0,411.0,45.7,1.0,1.0,0.0,0.0,7.0,7.0,3.0,0.0,26.0,3.0,32:39,14.0,2.0,11.0,1.0,60.0,307.0,5.1,2.0,23.0,63.0,2.7,0.0,36.0,19.0,244.0,2.0,0.0,6.8,12.8,52.8,92.82,16.0,6.0,37.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,60.0,2.0,1.0,1.0,11.0,18.0,9.0,8.0,432.0,54.0,1.0,1.0,0.0,0.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,26.0,1.0,11.0,8.0,1.0,1.0,43.0,25.0,6.0,38.0,7.0,1.0,0.0,Sunday,993003428,10,25,18066.0,-6,0,0.0,0.235,0.0,13.3,16.7,-3.3,322.6666666666667,290.6666666666667,0.0,0.243,0.2,131.0,149.0,3.0
