gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202210107.0,2022-09-11T13:00:00,,2022,1,CIN,PIT,HOME,20.0,23.0,43.0,Paycor Stadium,3.0,3.0,8.0,6.0,0.0,,,43:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,7.0,0.0,3.0,3.0,,,26:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003112,7,28,,-3.0,0,,,,,,,,,,,,,,
202210209.0,2022-09-18T16:25:00,1.0,2022,2,CIN,DAL,AWAY,17.0,20.0,37.0,AT&T Stadium,3.0,0.0,6.0,8.0,0.0,43.0,42.0,33:48,32.0,5.0,22.0,5.0,94.0,432.0,4.6,2.0,34.0,133.0,3.9,0.0,53.0,33.0,299.0,2.0,4.0,5.6,9.1,62.3,58.61,16.0,8.0,50.0,3.0,1.0,33.3,5.0,2.0,0.0,0.0,4.0,27.0,2.0,1.0,7.0,39.0,5.0,4.0,3.0,158.0,52.7,5.0,0.0,-5.0,14.0,3.0,0.0,3.0,0.0,26.0,18.0,26:12,13.0,4.0,8.0,1.0,61.0,267.0,4.4,2.0,22.0,75.0,3.4,0.0,38.0,21.0,192.0,1.0,0.0,5.1,9.1,55.3,77.96,15.0,4.0,26.7,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,59.0,2.0,0.0,1.0,2.0,11.0,9.0,8.0,388.0,48.5,0.0,5.0,5.0,40.0,0.0,50.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,36.0,17.0,1.0,2.0,4.0,1.0,0.0,58.0,29.0,7.0,39.0,9.0,2.0,1.0,Sunday,993003163,7,9,18009.0,-3.0,0,-5.0,0.5,0.0,,,,,,,,,20.0,23.0,0.0
202210324.0,2022-09-25T13:00:00,1.0,2022,3,CIN,NYJ,AWAY,27.0,12.0,39.0,MetLife Stadium,14.0,6.0,7.0,0.0,0.0,33.0,48.0,32:24,19.0,3.0,13.0,3.0,67.0,254.0,3.8,1.0,25.0,89.0,3.6,0.0,36.0,24.0,165.0,1.0,0.0,4.6,6.9,66.7,86.0,17.0,6.0,35.3,1.0,1.0,100.0,1.0,1.0,0.0,0.0,7.0,35.0,1.0,0.0,6.0,34.0,5.0,4.0,5.0,236.0,47.2,0.0,1.0,1.0,6.0,3.0,3.0,0.0,0.0,26.0,12.0,27:36,19.0,7.0,11.0,1.0,59.0,337.0,5.7,2.0,27.0,107.0,4.0,1.0,31.0,19.0,230.0,1.0,0.0,7.4,12.1,61.3,94.83,10.0,3.0,30.0,1.0,1.0,100.0,2.0,2.0,0.0,0.0,5.0,45.0,1.0,1.0,1.0,5.0,9.0,8.0,5.0,217.0,43.4,1.0,0.0,-1.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,41.0,10.0,1.0,5.0,3.0,1.0,1.0,39.0,25.0,6.0,34.0,4.0,1.0,0.0,Sunday,993003181,7,24,18244.0,15.0,1,1.0,0.353,0.0,,,,,,,,,37.0,43.0,0.0
202210407.0,2022-09-29T20:15:00,1.0,2022,4,CIN,MIA,HOME,27.0,15.0,42.0,Paycor Stadium,7.0,7.0,0.0,13.0,0.0,32.0,24.0,31:35,20.0,6.0,12.0,2.0,66.0,330.0,5.0,3.0,28.0,69.0,2.5,0.0,36.0,23.0,261.0,3.0,0.0,7.2,11.3,63.9,113.31,14.0,7.0,50.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,30.0,2.0,1.0,2.0,14.0,10.0,6.0,3.0,142.0,47.3,1.0,4.0,3.0,3.0,9.0,3.0,0.0,0.0,27.0,36.0,28:25,19.0,4.0,13.0,2.0,76.0,328.0,4.3,0.0,20.0,76.0,3.8,0.0,52.0,28.0,252.0,0.0,2.0,4.8,9.0,53.8,51.12,18.0,7.0,38.9,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,55.0,3.0,2.0,4.0,33.0,9.0,7.0,3.0,146.0,48.7,4.0,1.0,-3.0,50.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,42.0,23.0,4.0,33.0,8.0,3.0,3.0,41.0,20.0,2.0,14.0,4.0,1.0,1.0,Thursday,993003206,7,19,18054.0,12.0,1,3.0,0.5,0.0,21.3,18.3,3.0,338.6666666666667,310.6666666666667,-0.333,0.451,,64.0,55.0,1.0
202210503.0,2022-10-09T20:20:00,1.0,2022,5,CIN,BAL,AWAY,17.0,19.0,36.0,M&T Bank Stadium,0.0,10.0,0.0,7.0,0.0,31.0,35.0,30:01,16.0,4.0,11.0,1.0,63.0,371.0,5.9,3.0,30.0,67.0,2.2,1.0,32.0,21.0,304.0,2.0,0.0,9.5,14.5,65.6,117.19,15.0,8.0,53.3,1.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,74.0,0.0,0.0,1.0,6.0,9.0,4.0,4.0,159.0,39.8,0.0,2.0,2.0,3.0,7.0,3.0,6.0,0.0,28.0,25.0,29:59,20.0,3.0,13.0,4.0,60.0,378.0,6.3,1.0,22.0,85.0,3.9,0.0,37.0,22.0,293.0,1.0,2.0,7.9,13.3,59.5,71.11,10.0,2.0,20.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,41.0,0.0,0.0,1.0,10.0,3.0,2.0,3.0,150.0,50.0,2.0,0.0,-2.0,66.7,0.0,33.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,37.0,16.0,1.0,10.0,5.0,0.0,0.0,35.0,23.0,1.0,6.0,1.0,0.0,0.0,Sunday,993003265,7,3,18261.0,-2.0,0,2.0,0.533,0.0,23.7,15.7,8.0,318.3333333333333,347.6666666666667,2.0,0.462,,91.0,70.0,2.0
202210622.0,2022-10-16T13:00:00,1.0,2022,6,CIN,NO,AWAY,30.0,26.0,56.0,Caesars Superdome,7.0,7.0,7.0,9.0,0.0,30.0,1.0,27:46,20.0,7.0,10.0,3.0,59.0,291.0,4.9,2.0,21.0,101.0,4.8,1.0,35.0,24.0,190.0,1.0,1.0,5.4,7.9,68.6,79.46,10.0,4.0,40.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,20.0,0.0,0.0,3.0,27.0,4.0,2.0,4.0,154.0,38.5,1.0,1.0,0.0,7.0,13.0,3.0,3.0,0.0,29.0,59.0,32:14,22.0,13.0,7.0,2.0,61.0,325.0,5.3,1.0,28.0,155.0,5.5,0.0,32.0,19.0,170.0,1.0,1.0,5.3,8.9,59.4,71.09,11.0,5.0,45.5,1.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,48.0,1.0,0.0,1.0,4.0,5.0,5.0,2.0,79.0,39.5,1.0,1.0,0.0,66.7,0.0,33.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,41.0,21.0,1.0,4.0,3.0,0.0,0.0,39.0,17.0,3.0,27.0,5.0,0.0,0.0,Sunday,993003275,7,22,18177.0,4.0,1,0.0,0.4,0.0,23.7,15.3,8.3,330.6666666666667,343.6666666666667,1.667,0.478,0.4,108.0,89.0,2.0
202210707.0,2022-10-23T13:00:00,1.0,2022,7,CIN,ATL,HOME,35.0,17.0,52.0,Paycor Stadium,14.0,14.0,7.0,0.0,0.0,27.0,46.0,33:05,21.0,7.0,13.0,1.0,54.0,348.0,6.4,4.0,14.0,75.0,5.4,1.0,37.0,28.0,273.0,3.0,0.0,7.4,9.8,75.7,122.92,10.0,6.0,60.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,30.0,1.0,1.0,3.0,27.0,5.0,5.0,3.0,131.0,43.7,1.0,0.0,-1.0,0.0,17.0,0.0,0.0,0.0,32.0,14.0,26:55,22.0,9.0,12.0,1.0,71.0,399.0,5.6,2.0,34.0,228.0,6.7,1.0,36.0,19.0,171.0,1.0,0.0,4.8,9.0,52.8,75.12,17.0,8.0,47.1,1.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,34.0,0.0,0.0,1.0,7.0,6.0,3.0,3.0,149.0,49.7,0.0,1.0,1.0,100.0,0.0,20.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,36.0,36.0,1.0,7.0,4.0,0.0,0.0,37.0,6.0,3.0,27.0,3.0,1.0,1.0,Sunday,993003304,7,2,18185.0,18.0,1,-1.0,0.6,0.0,24.7,20.0,4.7,336.6666666666667,367.3333333333333,0.333,0.511,0.6,138.0,115.0,3.0
202210808.0,2022-10-31T20:15:00,1.0,2022,8,CIN,CLE,AWAY,13.0,32.0,45.0,FirstEnergy Stadium,0.0,0.0,0.0,13.0,0.0,33.0,5.0,23:15,29.0,5.0,22.0,2.0,66.0,537.0,8.1,5.0,21.0,78.0,3.7,2.0,42.0,34.0,459.0,3.0,0.0,10.9,13.5,81.0,136.01,11.0,7.0,63.6,1.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,17.0,0.0,0.0,3.0,22.0,5.0,5.0,2.0,93.0,46.5,0.0,0.0,0.0,0.0,11.0,14.0,7.0,0.0,26.0,55.0,36:45,13.0,7.0,5.0,1.0,45.0,214.0,4.8,2.0,29.0,107.0,3.7,1.0,13.0,8.0,107.0,1.0,0.0,8.2,13.4,61.5,113.3,10.0,4.0,40.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,22.0,1.0,0.0,3.0,17.0,6.0,4.0,6.0,282.0,47.0,0.0,0.0,0.0,66.7,0.0,100.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,16.0,3.0,17.0,2.0,0.0,0.0,43.0,26.0,3.0,22.0,4.0,0.0,0.0,Monday,993003353,7,8,18036.0,-19.0,0,0.0,0.636,0.0,27.3,20.7,6.7,392.0,312.6666666666667,-0.333,0.545,0.8,173.0,132.0,4.0
202210907.0,2022-11-06T13:00:00,1.0,2022,9,CIN,CAR,HOME,42.0,21.0,63.0,Paycor Stadium,7.0,28.0,7.0,0.0,0.0,23.0,15.0,39:21,15.0,3.0,9.0,3.0,50.0,229.0,4.6,2.0,10.0,36.0,3.6,0.0,35.0,25.0,193.0,2.0,1.0,5.5,7.7,71.4,91.73,10.0,4.0,40.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0,1.0,1.0,5.0,39.0,7.0,3.0,4.0,147.0,36.8,2.0,2.0,0.0,0.0,0.0,7.0,14.0,0.0,36.0,45.0,20:39,24.0,12.0,12.0,0.0,69.0,440.0,6.4,4.0,44.0,172.0,3.9,3.0,23.0,17.0,268.0,1.0,1.0,11.7,15.8,73.9,108.61,13.0,8.0,61.5,0.0,0.0,0.0,5.0,4.0,0.0,0.0,6.0,56.0,1.0,1.0,2.0,10.0,7.0,4.0,2.0,67.0,33.5,2.0,2.0,0.0,100.0,0.0,80.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,45.0,35.0,2.0,10.0,1.0,1.0,1.0,29.0,23.0,5.0,39.0,6.0,1.0,1.0,Sunday,993003366,7,5,18132.0,21.0,1,0.0,0.4,0.0,26.0,25.0,1.0,371.3333333333333,351.0,-0.333,0.545,0.6,186.0,164.0,4.0
202211128.0,2022-11-20T16:25:00,1.0,2022,11,CIN,PIT,AWAY,37.0,30.0,67.0,Acrisure Stadium,10.0,7.0,10.0,10.0,0.0,39.0,21.0,31:36,30.0,19.0,10.0,1.0,72.0,464.0,6.4,6.0,39.0,241.0,6.2,5.0,31.0,25.0,223.0,1.0,0.0,7.2,8.9,80.6,107.39,10.0,6.0,60.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,5.0,35.0,1.0,0.0,2.0,5.0,1.0,1.0,3.0,120.0,40.0,0.0,3.0,3.0,3.0,17.0,3.0,7.0,0.0,20.0,39.0,28:24,13.0,4.0,8.0,1.0,48.0,228.0,4.8,3.0,18.0,64.0,3.6,1.0,30.0,17.0,164.0,2.0,2.0,5.5,9.6,56.7,66.53,8.0,2.0,25.0,1.0,1.0,100.0,3.0,3.0,0.0,0.0,7.0,50.0,1.0,1.0,0.0,0.0,3.0,2.0,5.0,270.0,54.0,3.0,0.0,-3.0,100.0,0.0,100.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.0,0.0,0.0,4.0,1.0,1.0,50.0,30.0,2.0,5.0,3.0,1.0,0.0,Sunday,993003431,7,28,18136.0,7.0,1,3.0,0.6,0.0,30.0,23.3,6.7,410.0,294.0,1.0,0.545,0.6,228.0,185.0,5.0
