gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202510114.0,2025-09-07T13:00:00,,2025,1,MIA,IND,AWAY,8.0,33.0,41.0,Lucas Oil Stadium,0.0,0.0,0.0,8.0,0.0,,,21:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,17.0,3.0,10.0,0.0,,,38:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993005123,19,14,,-25.0,0,,,,,,,,,,,,,,
202510219.0,2025-09-14T13:00:00,1.0,2025,2,MIA,NE,HOME,27.0,33.0,60.0,Hard Rock Stadium,0.0,14.0,6.0,7.0,0.0,21.0,17.0,26:15,12.0,3.0,9.0,0.0,46.0,211.0,4.6,1.0,12.0,78.0,6.5,0.0,31.0,19.0,133.0,1.0,2.0,4.3,7.0,61.3,54.91,10.0,5.0,50.0,2.0,1.0,50.0,1.0,1.0,0.0,0.0,3.0,15.0,1.0,1.0,3.0,13.0,2.0,4.0,1.0,42.0,42.0,3.0,0.0,-3.0,12.0,3.0,8.0,10.0,0.0,38.0,43.0,33:45,27.0,11.0,14.0,2.0,70.0,418.0,6.0,3.0,40.0,156.0,3.9,2.0,29.0,22.0,262.0,1.0,0.0,9.0,11.9,75.9,114.44,15.0,7.0,46.7,3.0,3.0,100.0,6.0,3.0,0.0,0.0,4.0,45.0,0.0,0.0,1.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,46.0,35.0,1.0,10.0,4.0,0.0,0.0,25.0,20.0,3.0,13.0,5.0,1.0,1.0,Sunday,993005156,19,21,19057.0,-6.0,0,-3.0,0.5,0.0,,,,,,,,,8.0,33.0,0.0
202510304.0,2025-09-18T20:15:00,1.0,2025,3,MIA,BUF,AWAY,21.0,31.0,52.0,Highmark Stadium,7.0,7.0,0.0,7.0,0.0,26.0,15.0,28:13,16.0,1.0,15.0,0.0,52.0,358.0,6.9,3.0,15.0,61.0,4.1,0.0,32.0,26.0,297.0,2.0,1.0,9.3,11.4,81.2,113.15,10.0,4.0,40.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,10.0,65.0,1.0,0.0,5.0,18.0,3.0,4.0,2.0,88.0,44.0,1.0,0.0,-1.0,7.0,7.0,7.0,10.0,0.0,33.0,45.0,31:47,18.0,8.0,9.0,1.0,55.0,333.0,6.1,4.0,29.0,122.0,4.2,1.0,23.0,19.0,211.0,2.0,0.0,9.2,11.1,82.6,133.88,12.0,7.0,58.3,1.0,1.0,100.0,4.0,3.0,0.0,0.0,12.0,75.0,2.0,0.0,3.0,19.0,5.0,6.0,2.0,136.0,68.0,0.0,1.0,1.0,50.0,0.0,75.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,31.0,29.0,3.0,19.0,2.0,0.0,0.0,37.0,15.0,5.0,18.0,2.0,0.0,0.0,Thursday,993005181,19,4,19088.0,-10.0,0,-1.0,0.4,0.0,,,,,,,,,35.0,66.0,0.0
202510419.0,2025-09-29T19:15:00,1.0,2025,4,MIA,NYJ,HOME,27.0,21.0,48.0,Hard Rock Stadium,3.0,7.0,14.0,3.0,0.0,28.0,13.0,30:48,19.0,8.0,11.0,0.0,59.0,276.0,4.7,3.0,25.0,130.0,5.2,1.0,34.0,22.0,146.0,2.0,1.0,4.3,6.6,64.7,81.25,15.0,10.0,66.7,1.0,1.0,100.0,3.0,3.0,0.0,0.0,6.0,57.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,200.0,50.0,1.0,0.0,-1.0,0.0,3.0,7.0,11.0,0.0,31.0,47.0,29:12,23.0,8.0,12.0,3.0,57.0,360.0,6.3,4.0,27.0,157.0,5.8,1.0,28.0,22.0,203.0,3.0,0.0,7.2,9.2,78.6,132.59,11.0,6.0,54.5,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,35.0,2.0,0.0,2.0,10.0,1.0,5.0,2.0,95.0,47.5,0.0,1.0,1.0,100.0,0.0,75.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,42.0,12.0,2.0,10.0,3.0,0.0,0.0,37.0,19.0,0.0,0.0,3.0,0.0,0.0,Monday,993005242,19,24,19099.0,6.0,1,-1.0,0.667,0.0,18.7,32.3,-13.7,281.6666666666667,370.3333333333333,-1.667,0.522,,56.0,97.0,0.0
202510505.0,2025-10-05T13:00:00,1.0,2025,5,MIA,CAR,AWAY,24.0,27.0,51.0,Bank of America Stadium,3.0,14.0,0.0,7.0,0.0,30.0,48.0,28:46,19.0,5.0,12.0,2.0,56.0,300.0,5.4,3.0,31.0,123.0,4.0,1.0,25.0,17.0,177.0,2.0,0.0,7.1,10.4,68.0,114.92,12.0,4.0,33.3,1.0,1.0,100.0,4.0,3.0,0.0,0.0,6.0,40.0,2.0,0.0,0.0,0.0,3.0,5.0,4.0,192.0,48.0,0.0,3.0,3.0,0.0,10.0,3.0,14.0,0.0,29.0,12.0,31:14,23.0,9.0,12.0,2.0,57.0,404.0,7.1,2.0,28.0,197.0,7.0,1.0,27.0,20.0,207.0,1.0,0.0,7.7,10.4,74.1,108.1,9.0,4.0,44.4,2.0,1.0,50.0,2.0,0.0,0.0,0.0,13.0,101.0,3.0,3.0,2.0,19.0,0.0,2.0,2.0,84.0,42.0,3.0,0.0,-3.0,75.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,38.0,18.0,2.0,19.0,3.0,2.0,3.0,30.0,31.0,0.0,0.0,3.0,1.0,0.0,Sunday,993005255,19,5,19128.0,-3.0,0,3.0,0.333,0.0,25.0,28.3,-3.3,311.3333333333333,365.6666666666667,0.333,0.467,,83.0,118.0,1.0
202510619.0,2025-10-12T13:00:00,1.0,2025,6,MIA,LAC,HOME,27.0,29.0,56.0,Hard Rock Stadium,7.0,6.0,0.0,14.0,0.0,28.0,46.0,25:41,15.0,2.0,13.0,0.0,53.0,248.0,4.7,3.0,14.0,19.0,1.4,0.0,36.0,27.0,229.0,3.0,0.0,6.4,8.5,75.0,118.87,13.0,5.0,38.5,1.0,1.0,100.0,3.0,2.0,0.0,0.0,9.0,64.0,0.0,0.0,3.0,27.0,8.0,3.0,6.0,312.0,52.0,0.0,2.0,2.0,6.0,3.0,14.0,6.0,0.0,31.0,14.0,34:19,26.0,8.0,12.0,6.0,65.0,418.0,6.4,3.0,32.0,239.0,7.5,1.0,30.0,19.0,179.0,2.0,1.0,6.0,9.4,63.3,88.06,11.0,5.0,45.5,2.0,2.0,100.0,5.0,3.0,0.0,0.0,8.0,46.0,1.0,1.0,3.0,19.0,3.0,9.0,3.0,161.0,53.7,2.0,0.0,-2.0,66.7,0.0,60.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,34.0,33.0,3.0,19.0,2.0,1.0,1.0,34.0,16.0,3.0,27.0,1.0,0.0,0.0,Sunday,993005278,19,29,19132.0,-2.0,0,2.0,0.385,0.0,24.0,26.3,-2.3,274.6666666666667,394.0,1.333,0.462,0.2,107.0,145.0,1.0
202510708.0,2025-10-19T13:00:00,1.0,2025,7,MIA,CLE,AWAY,6.0,31.0,37.0,Huntington Bank Field,0.0,6.0,0.0,0.0,0.0,25.0,41.0,28:15,19.0,7.0,10.0,2.0,56.0,341.0,6.1,3.0,21.0,137.0,6.5,2.0,33.0,22.0,204.0,1.0,3.0,6.2,9.3,66.7,55.62,11.0,5.0,45.5,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,45.0,0.0,0.0,2.0,9.0,7.0,1.0,2.0,111.0,55.5,3.0,1.0,-2.0,3.0,14.0,7.0,7.0,0.0,34.0,19.0,31:45,20.0,7.0,12.0,1.0,64.0,403.0,6.3,2.0,25.0,140.0,5.6,0.0,38.0,29.0,263.0,2.0,0.0,6.9,9.1,76.3,112.06,15.0,6.0,40.0,1.0,1.0,100.0,7.0,2.0,0.0,0.0,7.0,45.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,94.0,47.0,1.0,3.0,2.0,66.7,0.0,28.6,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,44.0,20.0,1.0,1.0,2.0,2.0,1.0,31.0,22.0,2.0,9.0,5.0,0.0,0.0,Sunday,993005317,19,8,19148.0,-25.0,0,-2.0,0.455,0.0,26.0,25.7,0.3,296.3333333333333,408.3333333333333,1.0,0.391,0.2,134.0,174.0,1.0
202510802.0,2025-10-26T13:00:00,1.0,2025,8,MIA,ATL,AWAY,34.0,10.0,44.0,Mercedes-Benz Stadium,7.0,10.0,7.0,10.0,0.0,28.0,15.0,37:58,12.0,3.0,7.0,2.0,57.0,219.0,3.8,0.0,22.0,99.0,4.5,0.0,31.0,17.0,120.0,0.0,3.0,3.9,7.1,54.8,24.33,13.0,1.0,7.7,4.0,2.0,50.0,2.0,0.0,0.0,0.0,11.0,103.0,6.0,1.0,4.0,33.0,3.0,9.0,4.0,189.0,47.2,4.0,0.0,-4.0,0.0,3.0,0.0,7.0,0.0,31.0,45.0,22:02,15.0,5.0,6.0,4.0,53.0,206.0,3.9,4.0,33.0,104.0,3.2,3.0,18.0,13.0,102.0,0.0,0.0,5.7,7.8,72.2,85.88,11.0,4.0,36.4,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,37.0,1.0,0.0,2.0,14.0,6.0,11.0,6.0,258.0,43.0,0.0,4.0,4.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,16.0,2.0,14.0,2.0,0.0,0.0,33.0,18.0,4.0,33.0,6.0,1.0,1.0,Sunday,993005341,19,2,19159.0,24.0,1,-4.0,0.077,0.0,19.0,29.0,-10.0,269.3333333333333,342.3333333333333,-1.333,0.305,0.2,140.0,205.0,1.0
202510919.0,2025-10-30T20:15:00,1.0,2025,9,MIA,BAL,HOME,6.0,28.0,34.0,Hard Rock Stadium,3.0,3.0,0.0,0.0,0.0,37.0,58.0,28:17,24.0,11.0,10.0,3.0,65.0,338.0,5.2,4.0,37.0,141.0,3.8,0.0,27.0,21.0,197.0,4.0,0.0,7.3,9.4,77.8,136.65,13.0,6.0,46.2,2.0,1.0,50.0,5.0,3.0,0.0,0.0,4.0,54.0,0.0,0.0,1.0,8.0,4.0,4.0,3.0,148.0,49.3,0.0,1.0,1.0,7.0,7.0,14.0,0.0,0.0,22.0,2.0,31:43,11.0,3.0,7.0,1.0,49.0,213.0,4.3,1.0,17.0,45.0,2.6,1.0,31.0,21.0,168.0,0.0,0.0,5.4,8.0,67.7,81.12,11.0,2.0,18.2,4.0,2.0,50.0,2.0,1.0,0.0,0.0,8.0,76.0,1.0,1.0,1.0,5.0,2.0,5.0,4.0,185.0,46.2,1.0,0.0,-1.0,60.0,0.0,50.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,19.0,1.0,5.0,2.0,0.0,1.0,36.0,40.0,1.0,8.0,3.0,0.0,0.0,Thursday,993005360,19,3,19172.0,-22.0,0,1.0,0.462,0.0,22.3,23.3,-1.0,299.3333333333333,274.0,-1.667,0.331,0.4,174.0,215.0,2.0
202511019.0,2025-11-09T13:00:00,1.0,2025,10,MIA,BUF,HOME,30.0,13.0,43.0,Hard Rock Stadium,7.0,9.0,0.0,14.0,0.0,28.0,17.0,28:37,17.0,4.0,12.0,1.0,62.0,332.0,5.4,0.0,20.0,87.0,4.4,0.0,40.0,25.0,245.0,0.0,1.0,6.1,9.8,62.5,69.27,12.0,2.0,16.7,3.0,2.0,66.7,3.0,0.0,0.0,0.0,5.0,45.0,2.0,2.0,2.0,16.0,4.0,5.0,3.0,128.0,42.7,3.0,0.0,-3.0,0.0,0.0,0.0,13.0,0.0,31.0,43.0,31:23,18.0,7.0,11.0,0.0,56.0,338.0,6.0,4.0,31.0,150.0,4.8,0.0,23.0,18.0,188.0,4.0,0.0,8.2,10.4,78.3,140.31,13.0,5.0,38.5,1.0,1.0,100.0,3.0,3.0,0.0,0.0,5.0,56.0,0.0,0.0,2.0,16.0,5.0,3.0,6.0,336.0,56.0,0.0,3.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,32.0,2.0,16.0,1.0,0.0,0.0,35.0,25.0,2.0,16.0,4.0,2.0,2.0,Sunday,993005392,19,4,19069.0,17.0,1,-3.0,0.167,0.0,15.3,23.0,-7.7,296.3333333333333,252.33333333333334,-2.0,0.235,0.2,180.0,243.0,2.0
