gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202510115.0,2025-09-07T13:00:00,,2025,1,JAX,CAR,HOME,26.0,10.0,36.0,EverBank Stadium,3.0,17.0,0.0,6.0,0.0,,,31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,7.0,0.0,,,29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993005130,15,5,,16.0,1,,,,,,,,,,,,,,
202510207.0,2025-09-14T13:00:00,1.0,2025,2,JAX,CIN,AWAY,27.0,31.0,58.0,Paycor Stadium,7.0,10.0,7.0,3.0,0.0,31.0,0.0,33:11,19.0,10.0,9.0,0.0,63.0,378.0,6.0,2.0,32.0,200.0,6.2,1.0,31.0,19.0,178.0,1.0,1.0,5.7,9.4,61.3,74.4,12.0,5.0,41.7,2.0,2.0,100.0,5.0,2.0,0.0,0.0,11.0,93.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,111.0,55.5,1.0,3.0,2.0,7.0,3.0,14.0,7.0,0.0,29.0,0.0,26:49,15.0,5.0,8.0,2.0,61.0,255.0,4.2,1.0,25.0,113.0,4.5,0.0,35.0,18.0,142.0,1.0,2.0,4.1,7.9,51.4,47.56,15.0,8.0,53.3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,35.0,1.0,1.0,1.0,12.0,1.0,1.0,2.0,86.0,43.0,3.0,1.0,-2.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,30.0,1.0,12.0,9.0,1.0,1.0,41.0,19.0,0.0,0.0,4.0,0.0,0.0,Sunday,993005153,15,7,19058.0,-4.0,0,2.0,0.417,0.0,,,,,,,,,26.0,10.0,1.0
202510315.0,2025-09-21T13:00:00,1.0,2025,3,JAX,HOU,HOME,17.0,10.0,27.0,EverBank Stadium,7.0,0.0,3.0,7.0,0.0,33.0,11.0,31:18,21.0,5.0,15.0,1.0,70.0,400.0,5.7,3.0,27.0,139.0,5.1,0.0,42.0,24.0,261.0,3.0,2.0,6.2,10.9,57.1,79.56,13.0,6.0,46.2,1.0,0.0,0.0,6.0,3.0,0.0,0.0,6.0,55.0,1.0,0.0,1.0,10.0,9.0,6.0,2.0,95.0,47.5,2.0,3.0,1.0,0.0,3.0,0.0,7.0,0.0,26.0,49.0,28:42,24.0,5.0,17.0,2.0,65.0,350.0,5.4,4.0,17.0,48.0,2.8,1.0,45.0,28.0,302.0,3.0,3.0,6.7,10.8,62.2,76.34,14.0,6.0,42.9,1.0,1.0,100.0,4.0,3.0,0.0,0.0,3.0,29.0,1.0,0.0,3.0,15.0,4.0,2.0,3.0,166.0,55.3,3.0,2.0,-1.0,50.0,0.0,75.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,20.0,3.0,15.0,12.0,0.0,0.0,40.0,23.0,1.0,10.0,8.0,0.0,0.0,Sunday,993005194,15,13,19085.0,7.0,1,1.0,0.462,0.0,,,,,,,,,53.0,41.0,1.0
202510431.0,2025-09-28T16:05:00,1.0,2025,4,JAX,SF,AWAY,26.0,21.0,47.0,Levi's Stadium,0.0,17.0,9.0,0.0,0.0,31.0,18.0,32:31,17.0,5.0,10.0,2.0,66.0,291.0,4.4,2.0,24.0,86.0,3.6,2.0,40.0,20.0,205.0,0.0,1.0,5.1,10.2,50.0,54.69,15.0,4.0,26.7,1.0,0.0,0.0,3.0,2.0,0.0,0.0,9.0,70.0,0.0,0.0,2.0,17.0,6.0,4.0,6.0,293.0,48.8,1.0,3.0,2.0,3.0,3.0,8.0,7.0,0.0,28.0,42.0,27:29,13.0,2.0,8.0,3.0,59.0,271.0,4.6,1.0,19.0,87.0,4.6,0.0,38.0,25.0,184.0,1.0,2.0,4.8,7.4,65.8,63.93,15.0,4.0,26.7,1.0,1.0,100.0,1.0,0.0,0.0,0.0,7.0,66.0,1.0,1.0,2.0,20.0,5.0,3.0,6.0,261.0,43.5,3.0,1.0,-2.0,66.7,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,36.0,19.0,2.0,20.0,6.0,1.0,1.0,39.0,17.0,2.0,17.0,7.0,0.0,0.0,Sunday,993005231,15,31,19102.0,5.0,1,2.0,0.267,0.0,23.3,17.0,6.3,356.3333333333333,292.0,1.667,0.382,,70.0,51.0,2.0
202510515.0,2025-10-06T20:15:00,1.0,2025,5,JAX,KC,HOME,31.0,28.0,59.0,EverBank Stadium,0.0,7.0,14.0,10.0,0.0,32.0,31.0,28:01,18.0,8.0,8.0,2.0,63.0,325.0,5.2,3.0,32.0,151.0,4.7,1.0,31.0,21.0,174.0,1.0,0.0,5.6,8.3,67.7,92.67,14.0,4.0,28.6,1.0,1.0,100.0,2.0,1.0,0.0,0.0,12.0,90.0,1.0,0.0,0.0,0.0,3.0,3.0,5.0,237.0,47.4,0.0,4.0,4.0,7.0,7.0,0.0,14.0,0.0,27.0,29.0,31:59,22.0,3.0,17.0,2.0,63.0,389.0,6.2,2.0,24.0,83.0,3.5,0.0,38.0,22.0,306.0,2.0,2.0,8.1,13.9,57.9,79.5,13.0,8.0,61.5,1.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,54.0,3.0,2.0,1.0,3.0,0.0,6.0,2.0,91.0,45.5,4.0,0.0,-4.0,50.0,0.0,33.3,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,31.0,32.0,1.0,3.0,4.0,3.0,2.0,39.0,26.0,0.0,0.0,2.0,1.0,0.0,Monday,993005272,15,16,19124.0,3.0,1,4.0,0.286,0.0,23.3,20.7,2.7,338.6666666666667,336.6666666666667,2.333,0.338,,96.0,72.0,3.0
202510615.0,2025-10-12T13:00:00,1.0,2025,6,JAX,SEA,HOME,12.0,20.0,32.0,EverBank Stadium,6.0,0.0,0.0,6.0,0.0,28.0,1.0,33:21,21.0,9.0,8.0,4.0,54.0,319.0,5.9,4.0,26.0,109.0,4.2,2.0,25.0,18.0,210.0,1.0,1.0,8.4,11.7,72.0,93.75,9.0,5.0,55.6,1.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,25.0,1.0,1.0,3.0,11.0,4.0,1.0,2.0,105.0,52.5,2.0,1.0,-1.0,0.0,13.0,7.0,0.0,0.0,31.0,59.0,26:39,26.0,11.0,15.0,0.0,63.0,476.0,7.6,4.0,22.0,158.0,7.2,3.0,41.0,29.0,318.0,1.0,1.0,7.8,11.0,70.7,91.31,9.0,5.0,55.6,0.0,0.0,0.0,5.0,4.0,0.0,0.0,13.0,109.0,0.0,0.0,0.0,0.0,8.0,5.0,4.0,164.0,41.0,1.0,2.0,1.0,75.0,0.0,80.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,24.0,0.0,0.0,6.0,0.0,0.0,30.0,27.0,3.0,11.0,5.0,1.0,1.0,Sunday,993005290,15,30,19142.0,-8.0,0,-1.0,0.556,0.0,24.7,19.7,5.0,311.6666666666667,378.6666666666667,1.667,0.369,0.8,127.0,100.0,4.0
202510715.0,2025-10-19T09:30:00,1.0,2025,7,JAX,LAR,HOME,7.0,35.0,42.0,Wembley Stadium,0.0,0.0,0.0,7.0,0.0,33.0,21.0,28:14,17.0,3.0,13.0,1.0,68.0,273.0,4.0,2.0,19.0,59.0,3.1,0.0,42.0,27.0,214.0,2.0,0.0,5.1,7.9,64.3,92.76,16.0,4.0,25.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,10.0,76.0,1.0,0.0,7.0,44.0,4.0,7.0,8.0,393.0,49.1,0.0,0.0,0.0,14.0,7.0,0.0,14.0,0.0,26.0,39.0,31:46,13.0,2.0,10.0,1.0,54.0,346.0,6.4,2.0,26.0,60.0,2.3,0.0,27.0,16.0,286.0,2.0,0.0,10.6,17.9,59.3,120.29,12.0,1.0,8.3,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,56.0,0.0,0.0,1.0,9.0,17.0,7.0,7.0,360.0,51.4,0.0,0.0,0.0,0.0,0.0,33.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,24.0,25.0,1.0,9.0,3.0,0.0,0.0,34.0,32.0,7.0,44.0,2.0,0.0,0.0,Sunday,993005306,15,32,19147.0,-28.0,0,0.0,0.25,0.0,23.0,23.0,0.0,305.6666666666667,403.6666666666667,1.0,0.364,0.6,139.0,120.0,4.0
202510925.0,2025-11-02T16:05:00,1.0,2025,9,JAX,LV,AWAY,30.0,29.0,59.0,Allegiant Stadium,0.0,3.0,3.0,17.0,7.0,28.0,14.0,42:57,21.0,5.0,13.0,3.0,74.0,358.0,4.8,1.0,19.0,94.0,4.9,0.0,48.0,23.0,264.0,1.0,0.0,5.5,11.5,47.9,71.88,15.0,3.0,20.0,6.0,2.0,33.3,2.0,0.0,0.0,0.0,13.0,119.0,1.0,0.0,7.0,32.0,4.0,1.0,5.0,207.0,41.4,0.0,0.0,0.0,0.0,6.0,3.0,14.0,6.0,31.0,46.0,26:47,26.0,4.0,14.0,8.0,62.0,271.0,4.4,5.0,29.0,89.0,3.1,0.0,33.0,21.0,182.0,5.0,0.0,5.5,8.7,63.6,117.68,10.0,2.0,20.0,2.0,2.0,100.0,4.0,4.0,0.0,0.0,5.0,45.0,0.0,0.0,0.0,0.0,11.0,5.0,5.0,242.0,48.4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,18.0,0.0,0.0,4.0,0.0,0.0,39.0,18.0,7.0,32.0,10.0,1.0,0.0,Sunday,993005379,15,25,19049.0,1.0,1,0.0,0.2,0.0,16.7,27.7,-11.0,316.6666666666667,364.3333333333333,-0.333,0.335,0.6,146.0,155.0,4.0
202511013.0,2025-11-09T13:00:00,1.0,2025,10,JAX,HOU,AWAY,29.0,36.0,65.0,NRG Stadium,10.0,10.0,9.0,0.0,0.0,42.0,57.0,29:00,26.0,15.0,9.0,2.0,77.0,367.0,4.8,3.0,42.0,151.0,3.6,3.0,34.0,23.0,216.0,0.0,1.0,6.4,9.4,67.6,72.67,16.0,9.0,56.2,3.0,3.0,100.0,5.0,3.0,0.0,0.0,9.0,80.0,1.0,0.0,1.0,4.0,4.0,5.0,2.0,73.0,36.5,1.0,1.0,0.0,0.0,10.0,0.0,26.0,0.0,26.0,47.0,31:00,26.0,5.0,17.0,4.0,60.0,331.0,5.5,4.0,19.0,57.0,3.0,0.0,39.0,29.0,274.0,4.0,1.0,7.0,9.4,74.4,116.83,10.0,7.0,70.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,55.0,0.0,0.0,2.0,10.0,2.0,7.0,1.0,56.0,56.0,1.0,1.0,0.0,60.0,0.0,75.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,32.0,31.0,2.0,10.0,5.0,0.0,0.0,51.0,27.0,1.0,4.0,4.0,0.0,0.0,Sunday,993005395,15,13,19079.0,-7.0,0,0.0,0.562,0.0,16.3,28.0,-11.7,332.6666666666667,316.0,0.0,0.337,0.6,176.0,184.0,5.0
202511115.0,2025-11-16T13:00:00,1.0,2025,11,JAX,LAC,HOME,35.0,6.0,41.0,EverBank Stadium,7.0,7.0,7.0,14.0,0.0,29.0,0.0,37:55,19.0,6.0,7.0,6.0,55.0,213.0,3.9,3.0,27.0,94.0,3.5,1.0,23.0,13.0,119.0,1.0,1.0,5.2,9.2,56.5,67.12,11.0,4.0,36.4,0.0,0.0,0.0,4.0,2.0,0.0,0.0,9.0,90.0,2.0,1.0,5.0,39.0,3.0,5.0,3.0,137.0,45.7,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,31.0,0.0,22:05,27.0,8.0,17.0,2.0,69.0,412.0,6.0,5.0,22.0,130.0,5.9,2.0,45.0,27.0,282.0,2.0,1.0,6.3,10.4,60.0,83.75,15.0,10.0,66.7,2.0,1.0,50.0,5.0,4.0,0.0,0.0,11.0,80.0,2.0,1.0,2.0,10.0,6.0,8.0,2.0,108.0,54.0,2.0,2.0,0.0,50.0,0.0,80.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,26.0,39.0,2.0,10.0,8.0,0.0,1.0,32.0,22.0,5.0,39.0,9.0,2.0,1.0,Sunday,993005422,15,29,19187.0,29.0,1,0.0,0.364,0.0,22.0,33.3,-11.3,312.6666666666667,338.0,0.0,0.375,0.4,205.0,220.0,5.0
