gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202510106.0,2025-09-08T20:15:00,,2025,1,CHI,MIN,HOME,24.0,27.0,51.0,Soldier Field,7.0,3.0,7.0,7.0,0.0,,,32:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,21.0,0.0,,,27:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,993005148,6,20,,-3.0,0,,,,,,,,,,,,,,
202510211.0,2025-09-14T13:00:00,1.0,2025,2,CHI,DET,AWAY,21.0,52.0,73.0,Ford Field,7.0,7.0,0.0,7.0,0.0,32.0,53.0,29:40,20.0,7.0,10.0,3.0,63.0,317.0,5.0,3.0,26.0,119.0,4.6,1.0,35.0,21.0,198.0,1.0,0.0,5.7,9.4,60.0,85.18,12.0,3.0,25.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,12.0,127.0,1.0,1.0,2.0,12.0,5.0,6.0,6.0,266.0,44.3,1.0,1.0,0.0,14.0,14.0,10.0,14.0,0.0,27.0,7.0,30:20,14.0,6.0,5.0,3.0,49.0,254.0,5.2,3.0,26.0,120.0,4.6,1.0,20.0,13.0,134.0,2.0,1.0,6.7,10.3,65.0,96.67,12.0,3.0,25.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,50.0,0.0,0.0,3.0,9.0,3.0,6.0,7.0,333.0,47.6,1.0,1.0,0.0,100.0,0.0,66.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,2.0,33.0,14.0,3.0,9.0,5.0,0.0,0.0,38.0,21.0,2.0,12.0,3.0,1.0,1.0,Sunday,993005151,6,11,19068.0,-31.0,0,0.0,0.25,0.0,,,,,,,,,24.0,27.0,0.0
202510306.0,2025-09-21T16:25:00,1.0,2025,3,CHI,DAL,HOME,31.0,14.0,45.0,Soldier Field,14.0,10.0,7.0,0.0,0.0,29.0,40.0,27:02,19.0,7.0,11.0,1.0,64.0,339.0,5.3,3.0,27.0,134.0,5.0,1.0,33.0,21.0,205.0,2.0,1.0,6.2,9.8,63.6,88.57,13.0,7.0,53.8,2.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,50.0,2.0,1.0,4.0,29.0,4.0,4.0,4.0,212.0,53.0,2.0,0.0,-2.0,3.0,11.0,0.0,0.0,0.0,30.0,20.0,32:58,25.0,10.0,15.0,0.0,58.0,511.0,8.8,7.0,30.0,177.0,5.9,2.0,28.0,23.0,334.0,5.0,0.0,11.9,14.5,82.1,155.95,10.0,4.0,40.0,1.0,1.0,100.0,7.0,6.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,147.0,49.0,0.0,2.0,2.0,100.0,0.0,85.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,22.0,0.0,0.0,0.0,0.0,0.0,42.0,20.0,4.0,29.0,5.0,1.0,1.0,Sunday,993005208,6,9,19087.0,17.0,1,-2.0,0.538,0.0,,,,,,,,,45.0,79.0,0.0
202510425.0,2025-09-28T16:25:00,1.0,2025,4,CHI,LV,AWAY,25.0,24.0,49.0,Allegiant Stadium,3.0,6.0,7.0,9.0,0.0,27.0,2.0,33:10,19.0,7.0,11.0,1.0,57.0,385.0,6.8,4.0,29.0,87.0,3.0,0.0,28.0,19.0,298.0,4.0,0.0,10.6,15.7,67.9,142.56,14.0,8.0,57.1,1.0,1.0,100.0,3.0,2.0,0.0,0.0,6.0,41.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,176.0,44.0,0.0,4.0,4.0,7.0,7.0,7.0,3.0,0.0,32.0,58.0,26:50,23.0,6.0,14.0,3.0,67.0,396.0,5.9,1.0,20.0,121.0,6.0,0.0,45.0,34.0,275.0,1.0,3.0,6.1,8.1,75.6,70.14,11.0,3.0,27.3,3.0,2.0,66.7,4.0,1.0,0.0,0.0,4.0,25.0,1.0,1.0,2.0,17.0,1.0,4.0,2.0,102.0,51.0,4.0,0.0,-4.0,66.7,0.0,25.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,45.0,28.0,2.0,17.0,6.0,1.0,1.0,34.0,23.0,0.0,0.0,3.0,0.0,0.0,Sunday,993005235,6,25,19111.0,1.0,1,4.0,0.571,0.0,25.3,31.0,-5.7,347.0,387.0,0.667,0.453,,76.0,93.0,1.0
202510635.0,2025-10-13T20:15:00,1.0,2025,6,CHI,WAS,AWAY,25.0,24.0,49.0,Northwest Stadium,6.0,7.0,3.0,9.0,0.0,33.0,10.0,28:26,16.0,5.0,10.0,1.0,64.0,271.0,4.2,2.0,26.0,69.0,2.7,1.0,37.0,22.0,202.0,1.0,1.0,5.5,9.2,59.5,72.13,16.0,7.0,43.8,1.0,1.0,100.0,4.0,1.0,0.0,0.0,8.0,60.0,2.0,0.0,1.0,10.0,1.0,5.0,3.0,148.0,49.3,1.0,4.0,3.0,0.0,7.0,10.0,7.0,0.0,26.0,50.0,31:34,17.0,10.0,6.0,1.0,52.0,357.0,6.9,3.0,31.0,240.0,7.7,1.0,21.0,14.0,117.0,2.0,3.0,5.6,8.4,66.7,73.02,8.0,2.0,25.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,36.0,1.0,1.0,0.0,0.0,2.0,8.0,1.0,60.0,60.0,4.0,1.0,-3.0,25.0,0.0,66.7,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,35.0,22.0,0.0,0.0,4.0,1.0,1.0,37.0,24.0,1.0,10.0,6.0,1.0,0.0,Monday,993005301,6,35,19126.0,1.0,1,3.0,0.438,0.0,25.7,30.0,-4.3,331.6666666666667,421.3333333333333,1.667,0.516,,101.0,117.0,2.0
202510706.0,2025-10-19T13:00:00,1.0,2025,7,CHI,NO,HOME,26.0,14.0,40.0,Soldier Field,3.0,17.0,3.0,3.0,0.0,28.0,26.0,36:19,19.0,8.0,10.0,1.0,59.0,381.0,6.5,2.0,27.0,145.0,5.4,1.0,29.0,17.0,236.0,1.0,0.0,8.1,13.9,58.6,96.34,10.0,3.0,30.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0,84.0,1.0,0.0,3.0,16.0,3.0,3.0,2.0,106.0,53.0,0.0,3.0,3.0,0.0,7.0,7.0,0.0,0.0,31.0,34.0,23:41,22.0,7.0,11.0,4.0,60.0,329.0,5.5,3.0,31.0,124.0,4.0,0.0,26.0,19.0,205.0,3.0,1.0,7.9,10.8,73.1,118.27,8.0,3.0,37.5,1.0,1.0,100.0,1.0,1.0,0.0,0.0,5.0,40.0,3.0,2.0,3.0,6.0,5.0,4.0,1.0,30.0,30.0,3.0,0.0,-3.0,33.3,0.0,100.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,32.0,34.0,3.0,6.0,3.0,1.0,2.0,28.0,33.0,3.0,16.0,5.0,0.0,0.0,Sunday,993005310,6,22,19156.0,12.0,1,3.0,0.3,0.0,27.0,20.7,6.3,345.6666666666667,360.6666666666667,3.333,0.436,0.6,126.0,141.0,3.0
202510803.0,2025-10-26T13:00:00,1.0,2025,8,CHI,BAL,AWAY,16.0,30.0,46.0,M&T Bank Stadium,6.0,0.0,0.0,10.0,0.0,36.0,19.0,29:30,23.0,13.0,10.0,0.0,67.0,386.0,5.8,2.0,40.0,222.0,5.6,2.0,26.0,15.0,164.0,0.0,1.0,6.3,10.9,57.7,60.42,12.0,3.0,25.0,1.0,1.0,100.0,6.0,2.0,0.0,0.0,10.0,92.0,2.0,0.0,1.0,8.0,7.0,7.0,3.0,129.0,43.0,1.0,4.0,3.0,0.0,10.0,6.0,14.0,0.0,23.0,41.0,30:30,16.0,3.0,9.0,4.0,53.0,253.0,4.8,2.0,17.0,44.0,2.6,0.0,32.0,20.0,209.0,2.0,3.0,6.5,10.4,62.5,63.15,10.0,3.0,30.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,30.0,1.0,1.0,4.0,24.0,5.0,2.0,3.0,127.0,42.3,4.0,1.0,-3.0,33.3,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,11.0,4.0,24.0,9.0,1.0,1.0,35.0,32.0,1.0,8.0,5.0,0.0,0.0,Sunday,993005337,6,3,19158.0,-14.0,0,3.0,0.25,0.0,25.3,20.7,4.7,346.0,313.0,3.0,0.329,0.8,152.0,155.0,4.0
202510907.0,2025-11-02T13:00:00,1.0,2025,9,CHI,CIN,AWAY,47.0,42.0,89.0,Paycor Stadium,7.0,10.0,14.0,16.0,0.0,29.0,30.0,34:30,19.0,5.0,13.0,1.0,62.0,372.0,6.0,1.0,23.0,96.0,4.2,1.0,38.0,25.0,276.0,0.0,1.0,7.3,11.0,65.8,76.21,13.0,6.0,46.2,1.0,0.0,0.0,3.0,1.0,0.0,0.0,11.0,79.0,1.0,0.0,1.0,9.0,3.0,4.0,2.0,108.0,54.0,1.0,0.0,-1.0,10.0,10.0,7.0,15.0,0.0,30.0,30.0,25:30,24.0,13.0,8.0,3.0,59.0,355.0,6.0,3.0,35.0,177.0,5.1,2.0,22.0,17.0,178.0,1.0,0.0,8.1,10.5,77.3,115.34,10.0,4.0,40.0,1.0,1.0,100.0,6.0,3.0,0.0,0.0,6.0,45.0,1.0,0.0,2.0,8.0,4.0,6.0,2.0,95.0,47.5,0.0,1.0,1.0,33.3,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,37.0,29.0,2.0,8.0,1.0,1.0,0.0,37.0,23.0,1.0,9.0,2.0,1.0,0.0,Sunday,993005369,6,7,19173.0,5.0,1,-1.0,0.462,0.0,22.3,22.7,-0.3,379.6666666666667,312.3333333333333,1.667,0.337,0.8,168.0,185.0,4.0
202511006.0,2025-11-09T13:00:00,1.0,2025,10,CHI,NYG,HOME,24.0,20.0,44.0,Soldier Field,7.0,0.0,3.0,14.0,0.0,34.0,30.0,28:42,30.0,11.0,17.0,2.0,76.0,576.0,7.6,6.0,37.0,283.0,7.6,2.0,37.0,22.0,293.0,4.0,0.0,7.9,13.3,59.5,120.66,15.0,8.0,53.3,2.0,2.0,100.0,6.0,4.0,0.0,0.0,7.0,43.0,0.0,0.0,2.0,9.0,5.0,4.0,2.0,117.0,58.5,0.0,3.0,3.0,0.0,10.0,7.0,3.0,0.0,25.0,30.0,31:18,26.0,3.0,22.0,1.0,65.0,495.0,7.6,5.0,15.0,46.0,3.1,0.0,47.0,31.0,449.0,4.0,2.0,9.6,14.5,66.0,107.49,10.0,5.0,50.0,1.0,1.0,100.0,4.0,2.0,0.0,0.0,7.0,49.0,1.0,1.0,3.0,21.0,7.0,2.0,1.0,53.0,53.0,3.0,0.0,-3.0,66.7,0.0,50.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,34.0,19.0,3.0,21.0,7.0,1.0,1.0,32.0,44.0,2.0,9.0,6.0,0.0,0.0,Sunday,993005404,6,23,19070.0,4.0,1,3.0,0.533,0.0,29.7,28.7,1.0,444.6666666666667,367.6666666666667,1.667,0.415,0.8,215.0,227.0,5.0
202511120.0,2025-11-16T13:00:00,1.0,2025,11,CHI,MIN,AWAY,19.0,17.0,36.0,U.S. Bank Stadium,0.0,10.0,6.0,3.0,0.0,28.0,42.0,36:59,23.0,8.0,11.0,4.0,64.0,391.0,6.1,3.0,28.0,171.0,6.1,2.0,36.0,20.0,220.0,1.0,0.0,6.1,11.0,55.6,83.1,11.0,3.0,27.3,4.0,1.0,25.0,4.0,3.0,0.0,0.0,3.0,25.0,0.0,0.0,0.0,0.0,9.0,7.0,3.0,135.0,45.0,0.0,1.0,1.0,3.0,0.0,0.0,14.0,0.0,31.0,18.0,23:01,21.0,8.0,11.0,2.0,70.0,431.0,6.2,2.0,30.0,169.0,5.6,2.0,36.0,22.0,262.0,0.0,0.0,7.3,11.9,61.1,83.33,14.0,5.0,35.7,4.0,1.0,25.0,4.0,1.0,0.0,0.0,10.0,69.0,1.0,1.0,4.0,25.0,3.0,2.0,3.0,110.0,36.7,1.0,0.0,-1.0,75.0,0.0,25.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,39.0,27.0,4.0,25.0,5.0,1.0,1.0,30.0,29.0,0.0,0.0,2.0,0.0,0.0,Sunday,993005428,6,20,19186.0,2.0,1,1.0,0.273,0.0,29.0,30.7,-1.7,446.3333333333333,427.0,1.0,0.423,0.8,239.0,247.0,6.0
