gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202510102,2025-09-07T13:00:00,,2025,1,TB,ATL,AWAY,23,20,43,Mercedes-Benz Stadium,,,,,,,,24:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993005134,33,2,,3,1,,,,,,,,,,,,,,
202510213,2025-09-15T19:00:00,1.0,2025,2,TB,HOU,AWAY,20,19,39,NRG Stadium,0.0,10.0,7.0,6.0,0.0,24.0,48.0,37:09,16.0,5.0,10.0,1.0,56.0,260.0,4.6,3.0,23.0,101.0,4.4,0.0,32.0,17.0,159.0,3.0,0.0,5.0,9.4,53.1,98.31,14.0,7.0,50.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,5.0,60.0,0.0,0.0,1.0,8.0,5.0,7.0,4.0,205.0,51.2,0.0,0.0,0.0,7.0,3.0,3.0,7.0,0.0,35.0,12.0,22:51,23.0,4.0,16.0,3.0,71.0,358.0,5.0,2.0,28.0,69.0,2.5,1.0,42.0,27.0,289.0,1.0,0.0,6.9,10.7,64.3,92.26,15.0,6.0,40.0,4.0,3.0,75.0,2.0,1.0,0.0,0.0,8.0,55.0,1.0,0.0,1.0,9.0,3.0,2.0,3.0,140.0,46.7,0.0,0.0,0.0,100.0,0.0,50.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,43.0,27.0,1.0,9.0,7.0,0.0,0.0,26.0,27.0,1.0,8.0,7.0,0.0,0.0,Monday,993005177,33,13,19055.0,1,1,0.0,0.5,0.0,,,,,,,,,23.0,20.0,1.0
202510333,2025-09-21T13:00:00,1.0,2025,3,TB,NYJ,HOME,29,27,56,Raymond James Stadium,7.0,7.0,0.0,6.0,0.0,37.0,9.0,32:11,25.0,9.0,12.0,4.0,72.0,360.0,5.0,3.0,30.0,169.0,5.6,1.0,38.0,25.0,191.0,2.0,0.0,5.0,7.6,65.8,95.39,14.0,6.0,42.9,1.0,1.0,100.0,3.0,2.0,0.0,0.0,7.0,45.0,1.0,0.0,4.0,24.0,6.0,5.0,5.0,253.0,50.6,0.0,0.0,0.0,10.0,0.0,0.0,9.0,0.0,22.0,51.0,27:49,12.0,3.0,7.0,2.0,46.0,266.0,5.8,2.0,19.0,84.0,4.4,1.0,24.0,13.0,182.0,1.0,0.0,7.6,14.0,54.2,92.71,9.0,2.0,22.2,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,45.0,0.0,0.0,3.0,25.0,6.0,6.0,4.0,203.0,50.8,0.0,0.0,0.0,66.7,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,30.0,8.0,3.0,25.0,2.0,0.0,0.0,51.0,14.0,4.0,24.0,3.0,1.0,0.0,Sunday,993005188,33,24,19097.0,2,1,0.0,0.429,0.0,,,,,,,,,43.0,39.0,2.0
202510433,2025-09-28T13:00:00,1.0,2025,4,TB,PHI,HOME,25,31,56,Raymond James Stadium,3.0,17.0,3.0,6.0,0.0,32.0,11.0,31:52,19.0,4.0,12.0,3.0,64.0,347.0,5.4,2.0,34.0,122.0,3.6,0.0,29.0,19.0,225.0,1.0,0.0,7.8,11.8,65.5,100.5,13.0,4.0,30.8,0.0,0.0,0.0,5.0,1.0,0.0,0.0,14.0,124.0,1.0,0.0,1.0,8.0,10.0,9.0,4.0,162.0,40.5,0.0,2.0,2.0,3.0,3.0,0.0,21.0,0.0,27.0,49.0,28:08,21.0,5.0,13.0,3.0,63.0,267.0,4.2,3.0,23.0,99.0,4.3,0.0,36.0,26.0,168.0,2.0,1.0,4.7,6.5,72.2,88.66,11.0,3.0,27.3,3.0,1.0,33.3,3.0,2.0,0.0,0.0,7.0,81.0,1.0,1.0,4.0,29.0,2.0,7.0,2.0,97.0,48.5,2.0,0.0,-2.0,20.0,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,18.0,4.0,29.0,4.0,1.0,1.0,39.0,35.0,1.0,8.0,2.0,1.0,0.0,Sunday,993005224,33,26,19106.0,-6,0,2.0,0.308,0.0,24.0,22.0,2.0,322.3333333333333,297.0,0.667,0.412,,72.0,66.0,3.0
202510530,2025-10-05T16:05:00,1.0,2025,5,TB,SEA,AWAY,38,35,73,Lumen Field,3.0,3.0,14.0,5.0,0.0,31.0,52.0,33:12,18.0,5.0,7.0,6.0,68.0,376.0,5.5,2.0,26.0,104.0,4.0,0.0,40.0,22.0,272.0,2.0,1.0,6.8,12.4,55.0,82.5,13.0,3.0,23.1,3.0,1.0,33.3,2.0,0.0,0.0,0.0,5.0,40.0,2.0,1.0,2.0,17.0,3.0,11.0,3.0,110.0,36.7,2.0,0.0,-2.0,14.0,10.0,7.0,0.0,0.0,28.0,8.0,26:48,16.0,5.0,10.0,1.0,58.0,200.0,3.4,4.0,32.0,88.0,2.8,1.0,24.0,15.0,112.0,2.0,0.0,4.7,7.5,62.5,101.39,14.0,5.0,35.7,1.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,83.0,2.0,0.0,2.0,18.0,1.0,4.0,7.0,363.0,51.9,0.0,2.0,2.0,0.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,12.0,2.0,18.0,5.0,1.0,0.0,43.0,20.0,2.0,17.0,13.0,2.0,1.0,Sunday,993005263,33,30,19122.0,3,1,-2.0,0.231,0.0,24.7,25.7,-1.0,361.0,244.33333333333334,0.0,0.322,,97.0,97.0,3.0
202510633,2025-10-12T16:25:00,1.0,2025,6,TB,SF,HOME,30,19,49,Raymond James Stadium,3.0,10.0,15.0,10.0,0.0,33.0,12.0,27:25,25.0,6.0,17.0,2.0,58.0,426.0,7.3,4.0,24.0,56.0,2.3,2.0,33.0,29.0,370.0,2.0,0.0,11.2,12.8,87.9,133.59,11.0,7.0,63.6,0.0,0.0,0.0,6.0,4.0,0.0,0.0,4.0,37.0,0.0,0.0,1.0,9.0,2.0,1.0,2.0,91.0,45.5,0.0,2.0,2.0,0.0,7.0,14.0,14.0,0.0,26.0,48.0,32:35,27.0,6.0,18.0,3.0,54.0,463.0,8.6,5.0,20.0,122.0,6.1,1.0,34.0,28.0,341.0,4.0,1.0,10.0,12.2,82.4,135.42,9.0,6.0,66.7,1.0,1.0,100.0,4.0,4.0,0.0,0.0,7.0,56.0,1.0,1.0,0.0,0.0,2.0,6.0,1.0,38.0,38.0,2.0,0.0,-2.0,66.7,0.0,100.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,26.0,0.0,0.0,6.0,0.0,1.0,39.0,23.0,1.0,9.0,2.0,0.0,0.0,Sunday,993005296,33,31,19138.0,11,1,2.0,0.636,0.0,30.7,31.0,-0.3,383.0,310.0,0.667,0.392,0.8,135.0,132.0,4.0
202510711,2025-10-20T19:00:00,1.0,2025,7,TB,DET,AWAY,9,24,33,Ford Field,7.0,13.0,7.0,3.0,0.0,27.0,25.0,28:21,19.0,9.0,9.0,1.0,50.0,352.0,7.0,4.0,26.0,104.0,4.0,2.0,23.0,17.0,248.0,2.0,0.0,10.8,14.6,73.9,137.59,8.0,3.0,37.5,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,31.0,1.0,0.0,1.0,8.0,10.0,5.0,3.0,166.0,55.3,0.0,2.0,2.0,3.0,13.0,3.0,0.0,0.0,32.0,35.0,31:39,17.0,6.0,10.0,1.0,67.0,363.0,5.4,1.0,22.0,67.0,3.0,1.0,39.0,27.0,296.0,0.0,2.0,7.6,11.0,69.2,70.03,16.0,7.0,43.8,2.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,65.0,1.0,0.0,6.0,51.0,1.0,4.0,2.0,89.0,44.5,2.0,0.0,-2.0,100.0,0.0,50.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,40.0,26.0,6.0,51.0,5.0,1.0,0.0,29.0,17.0,1.0,8.0,2.0,0.0,0.0,Monday,993005329,33,11,19150.0,-15,0,2.0,0.375,0.0,31.0,28.3,2.7,384.6666666666667,342.0,0.667,0.414,0.8,165.0,151.0,5.0
202510822,2025-10-26T16:05:00,1.0,2025,8,TB,NO,AWAY,23,3,26,Caesars Superdome,0.0,3.0,6.0,0.0,0.0,28.0,21.0,32:56,15.0,2.0,11.0,2.0,66.0,251.0,3.8,1.0,12.0,41.0,3.4,0.0,50.0,28.0,210.0,1.0,1.0,4.2,7.5,56.0,64.58,16.0,4.0,25.0,5.0,2.0,40.0,1.0,0.0,0.0,0.0,6.0,35.0,2.0,1.0,4.0,18.0,9.0,7.0,6.0,263.0,43.8,2.0,2.0,0.0,7.0,7.0,7.0,3.0,0.0,31.0,39.0,27:04,17.0,6.0,9.0,2.0,65.0,379.0,5.8,3.0,32.0,164.0,5.1,2.0,29.0,20.0,215.0,1.0,1.0,7.4,10.8,69.0,87.57,13.0,3.0,23.1,2.0,1.0,50.0,2.0,1.0,0.0,0.0,6.0,50.0,1.0,1.0,4.0,26.0,8.0,4.0,5.0,256.0,51.2,2.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,36.0,38.0,4.0,26.0,2.0,1.0,1.0,31.0,22.0,4.0,18.0,12.0,2.0,1.0,Sunday,993005349,33,22,19169.0,20,1,0.0,0.25,0.0,25.7,26.0,-0.3,343.0,401.6666666666667,1.333,0.42,0.6,174.0,175.0,5.0
202511033,2025-11-09T13:00:00,1.0,2025,10,TB,NE,HOME,23,28,51,Raymond James Stadium,0.0,7.0,10.0,6.0,0.0,32.0,56.0,32:25,14.0,5.0,8.0,1.0,56.0,212.0,3.8,2.0,29.0,88.0,3.0,1.0,24.0,15.0,124.0,0.0,0.0,5.2,8.3,62.5,75.69,13.0,3.0,23.1,2.0,1.0,50.0,2.0,1.0,0.0,0.0,4.0,25.0,2.0,1.0,3.0,28.0,8.0,5.0,3.0,151.0,50.3,1.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,27.0,4.0,27:35,17.0,4.0,13.0,0.0,71.0,275.0,3.9,0.0,15.0,48.0,3.2,0.0,51.0,32.0,227.0,0.0,2.0,4.5,7.1,62.7,56.58,16.0,8.0,50.0,4.0,2.0,50.0,1.0,0.0,0.0,0.0,8.0,40.0,2.0,2.0,5.0,37.0,4.0,2.0,3.0,121.0,40.3,4.0,1.0,-3.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,30.0,5.0,37.0,7.0,2.0,2.0,30.0,32.0,3.0,28.0,4.0,2.0,1.0,Sunday,993005400,33,21,19179.0,-5,0,3.0,0.231,0.0,20.7,15.3,5.3,271.6666666666667,339.0,1.667,0.285,0.6,197.0,178.0,6.0
202511104,2025-11-16T13:00:00,1.0,2025,11,TB,BUF,AWAY,32,44,76,Highmark Stadium,7.0,3.0,6.0,7.0,0.0,32.0,25.0,35:07,24.0,9.0,14.0,1.0,66.0,371.0,5.6,3.0,21.0,113.0,5.4,0.0,43.0,28.0,258.0,3.0,0.0,6.0,9.2,65.1,104.6,13.0,5.0,38.5,1.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,40.0,0.0,0.0,2.0,15.0,6.0,3.0,6.0,258.0,43.0,0.0,1.0,1.0,7.0,7.0,7.0,7.0,0.0,27.0,35.0,24:53,16.0,5.0,9.0,2.0,59.0,435.0,7.4,4.0,27.0,166.0,6.1,2.0,31.0,16.0,269.0,2.0,1.0,8.7,16.8,51.6,89.31,14.0,5.0,35.7,3.0,2.0,66.7,2.0,1.0,0.0,0.0,5.0,49.0,1.0,0.0,1.0,1.0,5.0,6.0,5.0,248.0,49.6,1.0,0.0,-1.0,66.7,0.0,50.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,17.0,1.0,1.0,5.0,0.0,0.0,28.0,41.0,2.0,15.0,5.0,0.0,0.0,Sunday,993005419,33,4,19191.0,-12,0,1.0,0.385,0.0,18.3,18.3,0.0,278.0,363.0,1.333,0.288,0.6,220.0,206.0,6.0
